OTU	Ear	Cervix	Introitus	Vagina	Stool
ASV_7	114361	2	308	183	8683
ASV_1	185	106434	99001	96342	65
ASV_4	2106	18	42	55	59171
ASV_5	161	12	147	170	5337
ASV_99	0	0	0	0	4752
ASV_79	47	0	0	2	1762
ASV_71	17	0	614	916	2
ASV_69	2	0	307	541	3
ASV_97	4	2	341	521	0
ASV_112	0	0	385	493	7
ASV_56	56	0	371	344	9
ASV_250	0	0	199	333	0
ASV_134	289	0	0	0	0
ASV_364	0	0	132	260	3
ASV_55	213	0	0	0	0
ASV_27	22	0	169	212	0
ASV_44	103	0	153	207	0
ASV_25	203	0	29	62	89
ASV_2254	198	0	0	0	0
ASV_219	0	0	101	155	0
ASV_650	0	0	36	107	0
ASV_181	77	0	0	0	0
ASV_1011	2	0	46	65	0
ASV_152	0	0	0	0	59
ASV_146	54	0	4	0	0
ASV_174	0	0	0	0	54
ASV_2551	51	0	0	0	0
ASV_401	8	0	44	7	0
ASV_477	44	0	0	0	0
ASV_1576	43	0	0	0	0
ASV_1245	36	0	0	0	0
ASV_1264	32	0	0	0	0
ASV_54	0	0	0	5	32
ASV_261	0	0	21	29	0
ASV_301	0	0	26	28	0
ASV_19	0	2	6	4	27
ASV_53	27	0	0	0	0
ASV_153	26	0	0	0	0
ASV_90	26	3	6	2	4
ASV_1450	22	0	0	0	0
ASV_128	21	0	0	0	0
ASV_901	0	0	21	8	0
ASV_4623	20	0	0	0	0
ASV_338	19	0	0	0	0
ASV_215	18	0	0	0	0
ASV_659	0	0	12	15	0
ASV_1013	14	0	0	0	0
ASV_511	14	0	5	5	0
ASV_207	13	0	0	0	0
ASV_306	0	0	2	11	0
ASV_694	11	0	0	0	0
ASV_2549	10	0	0	0	0
ASV_348	10	0	0	0	0
ASV_540	10	0	0	0	0
ASV_2769	9	0	0	0	0
ASV_826	9	0	0	0	0
ASV_984	9	0	0	0	0
ASV_562	8	0	0	0	0
ASV_598	8	0	0	0	0
ASV_610	4	0	3	8	0
ASV_622	8	0	0	0	0
ASV_674	8	0	0	0	0
ASV_1098	0	0	6	7	0
ASV_1146	7	0	0	0	0
ASV_1391	6	0	0	0	0
ASV_3507	6	0	0	0	0
ASV_1289	5	0	0	0	0
ASV_821	5	0	0	0	0
ASV_1004	0	0	0	0	4
ASV_1694	4	0	0	0	0
ASV_1169	3	0	0	0	0
ASV_1322	0	0	3	2	0
ASV_136	3	0	0	2	0
ASV_2022	0	0	2	3	0
ASV_2090	3	0	0	0	0
ASV_445	3	0	0	0	0
ASV_721	0	0	0	3	0
ASV_773	3	0	0	0	0
ASV_813	0	0	0	3	0
ASV_976	3	0	0	0	2
ASV_122	2	0	0	0	0
ASV_1381	2	0	0	0	0
ASV_1702	0	0	0	2	0
ASV_1847	2	0	0	0	0
ASV_220	2	0	0	0	0
ASV_2458	2	0	0	0	0
ASV_2520	2	0	0	0	0
ASV_2801	2	0	0	0	0
ASV_567	0	0	0	0	2
ASV_614	2	0	0	0	0
ASV_845	0	0	0	2	0
