OTU	Ear	Vagina	Stool	Cervix	Anus	Introitus
ASV_7	87311	23	345	10	1788	1143
ASV_1	42	75911	23	63451	31	25440
ASV_5	1185	264	66699	1218	56752	46070
ASV_44	68	0	0	0	2987	75
ASV_27	0	0	0	0	2867	9
ASV_56	0	0	0	0	1603	0
ASV_69	0	0	0	0	1281	3
ASV_25	119	0	911	0	0	4
ASV_112	3	0	0	0	721	0
ASV_71	0	0	0	0	315	237
ASV_4	26	0	9	0	173	241
ASV_219	0	0	0	0	201	0
ASV_415	139	0	0	0	0	3
ASV_136	21	7	49	2	53	111
ASV_207	0	0	80	0	7	14
ASV_813	0	0	0	0	63	0
ASV_1004	0	0	55	0	0	0
ASV_438	54	0	0	0	0	0
ASV_2632	0	0	0	0	50	6
ASV_364	0	0	0	0	50	0
ASV_97	0	0	0	0	42	0
ASV_21	2	0	0	0	29	0
ASV_134	26	0	0	0	0	0
ASV_301	0	0	0	0	23	2
ASV_261	0	0	0	0	19	0
ASV_250	0	0	0	0	18	0
ASV_659	0	0	0	0	14	4
ASV_610	0	0	0	0	13	0
ASV_128	11	0	0	0	0	0
ASV_3032	0	2	0	0	9	2
ASV_540	0	0	0	0	9	5
ASV_57	9	0	6	0	7	0
ASV_79	9	0	0	0	0	0
ASV_1011	0	0	0	0	7	0
ASV_153	7	0	0	0	4	0
ASV_721	0	0	0	0	7	0
ASV_1702	0	0	0	0	5	0
ASV_218	0	0	0	0	5	0
ASV_306	0	0	0	0	4	0
ASV_511	0	0	0	0	4	0
ASV_90	4	0	0	0	0	0
ASV_976	4	0	0	0	0	0
ASV_122	0	0	3	0	0	0
ASV_1610	0	0	0	0	3	0
ASV_519	0	0	0	0	3	0
ASV_146	2	0	0	0	0	0
ASV_1847	0	0	0	2	0	0
ASV_2842	2	0	0	0	0	0
ASV_298	2	0	0	0	0	0
ASV_338	2	0	0	0	0	0
ASV_52	2	0	0	0	0	0
ASV_55	0	0	0	0	2	0
ASV_650	0	0	0	0	2	0
