OTU	Ear	Introitus	Cervix	Anus	Stool	Vagina
ASV_7	94805	3	22	77	63	22
ASV_4	21.5	55759	408	28563	3	5721
ASV_1	32.5	25625	44292	65	93	15768
ASV_90	0	22706	28127	303	0	2499
ASV_5	11.5	11	16	4145.5	21581	5
ASV_112	0	0	0	5897	0	0
ASV_27	3	0	0	3938.5	0	2
ASV_69	0	0	0	2544.5	0	0
ASV_250	3	0	0	2054.5	0	0
ASV_71	2	0	0	2187.5	0	0
ASV_56	0	2	0	1819	0	3
ASV_364	0	197	463	755	0	14
ASV_650	0	0	0	497	0	0
ASV_767	0	0	0	480	0	0
ASV_387	0	0	0	354.5	0	0
ASV_219	0	0	0	327	0	0
ASV_97	0	0	0	319.5	0	0
ASV_519	0	0	0	324	0	0
ASV_153	4	0	0	317.5	0	0
ASV_511	0	0	0	286	0	0
ASV_181	0	0	0	300	0	0
ASV_845	0	0	0	269.5	0	0
ASV_44	15	7	0	248.5	0	0
ASV_79	5.5	0	0	318	0	0
ASV_901	0	264	278	21.5	0	20
ASV_261	0	0	0	189.5	0	0
ASV_1610	0	0	0	157.5	0	0
ASV_866	4	0	0	129	0	0
ASV_610	0	0	0	151	0	0
ASV_306	0	0	0	127.5	0	0
ASV_21	0	0	0	136	0	0
ASV_284	2	0	0	129.5	0	0
ASV_567	2	0	0	120.5	0	0
ASV_301	0	0	0	101.5	0	0
ASV_403	0	0	0	101	0	0
ASV_413	0	0	0	117.5	0	0
ASV_1862	0	0	0	111.5	0	0
ASV_298	0	0	0	111	0	0
ASV_1336	0	0	0	86.5	0	0
ASV_2342	0	0	0	92.5	0	0
ASV_1068	0	0	0	90	0	0
ASV_57	0	0	0	3	123	0
ASV_1011	0	0	0	83.5	0	0
ASV_1968	0	0	0	79	0	0
ASV_598	0	0	0	90.5	0	0
ASV_721	0	0	0	75	0	0
ASV_348	0	0	0	67.5	0	0
ASV_1666	0	0	0	69.5	0	0
ASV_897	0	0	0	63	0	0
ASV_1098	0	0	0	53	0	0
ASV_445	0	0	0	45.5	0	0
ASV_488	2	0	0	45	0	0
ASV_25	4	19	3	41.5	17	0
ASV_534	0	0	0	43	0	0
ASV_152	0	0	0	35.5	0	0
ASV_434	0	0	0	38	0	0
ASV_1022	0	0	0	28.5	0	0
ASV_1960	0	0	0	30	0	0
ASV_562	0	0	0	29.5	0	0
ASV_2171	0	0	0	26.5	0	0
ASV_415	0	0	0	0	36	0
ASV_1169	0	0	0	23.5	0	0
ASV_1509	0	0	0	25.5	0	0
ASV_1372	0	0	0	22	0	0
ASV_651	0	0	0	21	0	0
ASV_1820	0	0	0	24	0	0
ASV_174	0	0	0	17	0	0
ASV_401	0	0	0	15.5	0	0
ASV_674	3	0	0	17.5	0	0
ASV_773	0	0	0	14.5	0	2
ASV_1184	0	0	0	13.5	0	0
ASV_210	0	0	0	13	0	0
ASV_134	15.5	0	0	0	0	0
ASV_161	0	0	0	15	0	0
ASV_2632	0	0	0	16	0	0
ASV_821	0	0	0	12.5	0	0
ASV_1318	0	0	0	9.5	0	0
ASV_1673	0	0	0	11	0	0
ASV_813	0	0	0	10	0	0
ASV_2223	0	0	0	9.5	0	0
ASV_2949	0	0	0	8.5	0	0
ASV_774	0	0	0	13	0	0
ASV_1327	0	0	0	14	0	0
ASV_1832	0	0	2	13	0	0
ASV_1998	0	0	0	9	0	0
ASV_218	0	0	0	11	0	0
ASV_1300	0	0	0	10	0	0
ASV_1031	0	0	0	8.5	0	0
ASV_1069	0	0	0	8	0	0
ASV_1208	0	0	0	9	0	0
ASV_1475	0	0	0	7.5	0	0
ASV_976	8.5	0	0	0	0	0
ASV_1602	0	0	0	8	0	0
ASV_128	3	0	0	0	0	7
ASV_146	6.5	0	0	0	0	0
ASV_1534	0	0	0	4.5	0	0
ASV_3237	0	0	0	6	0	0
ASV_1293	0	0	0	6	0	0
ASV_1379	0	0	0	6	0	0
ASV_659	6	0	0	0	0	0
ASV_1381	5	0	0	0	0	0
ASV_2776	0	0	0	5	0	0
ASV_99	0	0	0	4	0	0
ASV_2022	0	0	0	4	0	0
ASV_52	4	0	0	0	0	3
ASV_1047	0	0	0	3	0	0
ASV_1541	0	0	0	3	0	0
ASV_1852	0	0	0	2.5	0	0
ASV_477	3	0	0	0	0	0
ASV_522	0	0	0	3	0	0
ASV_120	2	0	0	0	0	0
ASV_1289	2	0	0	0	0	0
ASV_1450	2	0	0	0	0	0
ASV_1657	0	0	0	2	0	0
ASV_19	0	2	0	2	0	0
ASV_215	0	0	0	2	0	0
ASV_2339	0	0	0	2	0	0
ASV_2363	0	0	0	2	0	0
ASV_2549	0	0	0	2	0	0
ASV_338	2	0	0	0	0	0
ASV_378	2	0	0	0	0	0
ASV_694	2	0	0	0	0	0
