OTU	Ear	Vagina	Stool	Cervix	Introitus	Anus
ASV_7	78411	28	8844	16	44	167
ASV_1	14	76435	28	72343	68423	5307
ASV_5	24	4315	75443	10	8589	36803
ASV_4	8	9	24	13	4	56849
ASV_44	5231	0	7	0	0	3301
ASV_134	4570	0	0	0	0	0
ASV_56	0	8	0	10	14	3890
ASV_69	0	7	0	3	8	3207
ASV_97	0	2	2	0	0	1922
ASV_27	0	4	0	0	14	1413
ASV_71	0	8	2	5	9	1199
ASV_250	0	0	0	0	0	1119
ASV_79	0	0	0	0	0	553
ASV_112	0	0	4	0	4	469
ASV_364	0	2	0	0	4	383
ASV_219	0	0	0	0	2	375
ASV_19	0	156	6	4	341	2
ASV_261	0	0	0	0	0	292
ASV_301	0	0	0	0	0	286
ASV_897	0	0	0	0	0	266
ASV_659	206	0	0	0	0	0
ASV_519	0	0	0	0	0	189
ASV_610	0	0	0	0	0	134
ASV_721	0	0	0	0	0	118
ASV_413	0	0	0	0	0	106
ASV_585	0	103	0	6	15	0
ASV_306	0	0	0	0	0	89
ASV_90	0	0	0	2	4	85
ASV_1610	0	0	0	0	0	79
ASV_1098	0	0	0	0	0	74
ASV_153	0	0	0	0	0	74
ASV_511	0	0	0	0	0	70
ASV_813	0	0	0	0	0	64
ASV_1133	0	0	0	0	0	58
ASV_284	0	0	0	0	0	51
ASV_152	0	0	0	0	0	46
ASV_21	0	0	3	0	0	46
ASV_2494	43	0	0	0	0	0
ASV_181	0	0	0	0	0	42
ASV_1011	0	0	0	0	0	37
ASV_2268	0	0	0	0	0	33
ASV_1666	0	0	0	0	0	30
ASV_774	0	0	0	0	0	30
ASV_598	0	0	0	0	0	28
ASV_1336	0	0	0	0	0	25
ASV_298	0	0	0	0	0	24
ASV_534	0	0	0	0	0	23
ASV_1541	0	0	0	0	0	21
ASV_866	0	0	0	0	0	18
ASV_218	0	0	0	0	0	17
ASV_3032	0	0	0	0	0	17
ASV_567	0	0	0	0	0	16
ASV_1862	0	0	0	0	0	15
ASV_488	0	0	0	0	0	15
ASV_215	0	2	0	0	13	0
ASV_25	0	3	2	0	13	9
ASV_434	0	0	0	0	0	12
ASV_445	0	0	0	0	0	11
ASV_1068	0	0	0	0	0	10
ASV_2632	0	2	0	0	4	10
ASV_674	0	0	0	0	0	10
ASV_1245	0	0	7	0	0	0
ASV_2342	0	0	0	0	0	7
ASV_1004	0	0	6	0	0	0
ASV_1169	0	0	0	0	0	6
ASV_1184	0	0	0	0	0	6
ASV_161	0	0	0	0	0	6
ASV_562	0	0	0	0	0	6
ASV_651	0	0	0	0	0	6
ASV_845	0	5	0	0	0	6
ASV_901	0	0	0	0	0	6
ASV_1022	0	0	0	0	0	5
ASV_1327	0	0	0	0	0	5
ASV_348	0	0	0	0	0	5
ASV_403	0	0	0	0	0	5
ASV_650	0	0	0	0	0	5
ASV_99	0	0	5	0	0	0
ASV_120	0	4	0	0	0	0
ASV_1960	0	0	0	0	0	4
ASV_401	0	3	4	0	0	0
ASV_4013	0	0	0	0	0	4
ASV_1300	0	0	0	0	0	3
ASV_1419	0	0	3	0	0	0
ASV_1534	0	0	0	0	0	3
ASV_1702	0	0	0	0	0	3
ASV_1832	0	0	0	0	0	3
ASV_2467	0	0	0	0	3	0
ASV_387	0	0	0	0	3	2
ASV_1002	0	0	2	0	0	0
ASV_1314	0	0	0	0	0	2
ASV_1379	0	0	0	0	0	2
ASV_139	2	0	0	0	0	0
ASV_1509	0	0	0	0	0	2
ASV_1847	0	0	2	0	0	0
ASV_1852	0	0	0	0	0	2
ASV_2022	0	0	0	0	0	2
ASV_207	0	0	0	0	2	0
ASV_307	0	0	0	0	0	2
ASV_378	0	0	0	0	0	2
ASV_57	0	0	2	0	0	0
ASV_821	0	0	0	0	0	2
