OTU	Cervix	Vagina	Introitus	Anus	Ear
ASV_1	75848	33766	18049	17	3191
ASV_4	12392	55551	38185	32923	16081
ASV_5	1477	3420	8349	35655	487
ASV_53	0	0	0	7205	418
ASV_7	37	7	56	257	2794
ASV_25	2	16	12	799	2599
ASV_55	0	0	0	2	1787
ASV_44	3	10	12	481	1377
ASV_146	0	0	0	2	1189
ASV_161	0	0	0	0	810
ASV_56	0	3	5	189	641
ASV_477	0	0	0	0	574
ASV_112	0	0	4	572	0
ASV_1146	0	2	0	0	541
ASV_298	0	0	0	10	505
ASV_1694	0	0	0	0	483
ASV_1450	0	0	0	0	445
ASV_181	0	0	0	103	437
ASV_69	2	2	13	200	419
ASV_348	0	0	0	11	392
ASV_27	0	7	13	388	13
ASV_1069	0	0	0	4	347
ASV_79	0	0	0	74	337
ASV_826	0	0	0	0	290
ASV_219	0	0	2	44	270
ASV_622	0	0	0	0	251
ASV_1264	0	0	0	0	244
ASV_976	0	0	0	0	235
ASV_1379	0	0	0	3	212
ASV_338	4	0	0	0	202
ASV_71	5	24	18	186	3
ASV_1013	0	0	0	0	168
ASV_52	0	0	0	0	149
ASV_866	0	0	0	0	145
ASV_567	0	0	0	12	144
ASV_57	0	0	0	0	142
ASV_1138	0	0	0	0	140
ASV_1245	0	0	0	0	132
ASV_364	0	9	10	52	116
ASV_134	0	0	2	0	115
ASV_1068	0	0	0	11	104
ASV_3237	0	0	0	2	103
ASV_284	0	0	0	0	100
ASV_415	0	0	0	0	100
ASV_90	0	0	2	20	99
ASV_488	0	0	0	0	93
ASV_1052	0	0	0	0	89
ASV_562	0	0	0	9	86
ASV_19	0	2	0	51	84
ASV_3446	0	0	0	0	75
ASV_1011	0	2	0	3	74
ASV_97	0	0	0	73	0
ASV_2895	0	0	0	0	72
ASV_1300	0	0	0	0	71
ASV_598	0	0	0	17	70
ASV_1427	0	0	0	0	68
ASV_220	0	0	0	0	68
ASV_1381	0	0	0	0	66
ASV_2801	0	0	0	0	66
ASV_659	0	0	0	6	59
ASV_1661	0	0	0	0	54
ASV_152	0	0	0	5	52
ASV_3792	0	0	0	0	49
ASV_445	0	0	0	47	0
ASV_1684	0	0	0	0	46
ASV_153	0	0	0	44	22
ASV_403	0	0	0	0	44
ASV_614	0	0	0	0	44
ASV_128	0	0	0	0	38
ASV_511	0	0	0	38	0
ASV_2166	0	0	0	0	36
ASV_2204	0	0	0	0	33
ASV_122	0	0	0	0	28
ASV_250	0	0	0	28	0
ASV_2769	0	0	0	0	27
ASV_721	0	0	0	0	27
ASV_2090	0	0	0	0	22
ASV_2494	0	0	0	0	21
ASV_4360	0	0	0	0	20
ASV_21	0	0	0	19	0
ASV_47	0	0	0	19	0
ASV_651	0	0	0	8	19
ASV_773	0	0	0	13	19
ASV_969	0	0	0	19	0
ASV_1576	3	0	0	0	17
ASV_534	0	0	0	15	0
ASV_307	0	0	0	14	0
ASV_215	0	0	0	0	13
ASV_928	0	0	0	0	13
ASV_261	0	0	0	11	0
ASV_387	0	0	0	0	11
ASV_4623	0	0	0	0	11
ASV_1361	0	0	0	0	10
ASV_218	2	0	0	10	0
ASV_306	0	0	2	5	10
ASV_2070	0	0	0	0	8
ASV_519	0	0	0	8	0
ASV_207	0	5	7	5	0
ASV_767	0	3	7	0	0
ASV_1509	0	0	0	0	6
ASV_1022	0	0	0	5	0
ASV_1098	0	0	0	5	0
ASV_301	0	0	0	5	0
ASV_434	0	0	0	5	0
ASV_650	0	0	2	5	0
ASV_674	0	0	0	5	0
ASV_845	0	0	0	5	0
ASV_1031	0	0	0	4	0
ASV_1327	0	0	0	4	0
ASV_1391	0	0	0	0	4
ASV_210	0	0	0	4	0
ASV_3085	0	0	0	0	4
ASV_774	0	0	0	4	0
ASV_813	0	0	0	4	0
ASV_1289	0	0	0	0	3
ASV_1293	0	0	0	3	0
ASV_1475	0	0	0	3	0
ASV_54	0	3	0	0	0
ASV_821	0	0	0	3	0
ASV_1169	0	0	0	2	0
ASV_1184	0	0	0	2	0
ASV_120	2	0	0	0	0
ASV_1564	2	0	0	0	0
ASV_1602	0	0	0	2	0
ASV_1702	0	0	0	2	0
ASV_1820	0	0	0	2	0
ASV_99	0	0	0	2	0
