OTU	Introitus	Vagina	Cervix	Anus	Ear	Stool
ASV_1	146530	122456	120158	45	3675	15
ASV_5	4070	43	8	71491	503	18940
ASV_4	1688	2	17	577	52680	4
ASV_90	0	0	0	0	64	20383
ASV_53	0	0	0	61	12647	0
ASV_27	4	0	0	3955	629	0
ASV_7	16	0	3	299	3757	59
ASV_120	0	0	0	2655	0	0
ASV_44	7	0	0	1801	726	0
ASV_56	12	0	0	1450	221	0
ASV_25	47	0	4	158	1266	1416
ASV_69	3	0	0	888	298	0
ASV_71	0	0	0	695	138	0
ASV_112	0	0	0	7	566	0
ASV_174	0	0	0	0	11	490
ASV_79	0	0	0	17	462	0
ASV_364	0	0	0	93	169	0
ASV_181	0	0	0	23	132	0
ASV_306	0	0	0	130	22	0
ASV_134	0	0	0	0	126	0
ASV_55	0	0	0	21	95	0
ASV_511	0	0	0	51	89	0
ASV_1702	2	0	0	75	5	0
ASV_54	0	0	0	0	75	0
ASV_773	0	0	0	0	74	0
ASV_97	0	0	0	71	26	0
ASV_567	0	0	0	0	69	0
ASV_1694	0	0	0	0	68	0
ASV_220	0	0	0	0	60	0
ASV_1184	0	0	0	2	16	58
ASV_488	0	0	0	0	56	0
ASV_153	0	0	0	18	55	0
ASV_348	0	0	0	0	53	0
ASV_1068	0	0	0	3	46	0
ASV_1379	0	0	0	3	42	0
ASV_152	0	0	0	0	42	0
ASV_146	0	0	2	2	41	0
ASV_774	0	0	0	0	41	0
ASV_813	0	0	0	41	0	0
ASV_415	0	0	0	0	17	40
ASV_1069	0	0	0	0	38	0
ASV_1138	0	0	0	2	38	0
ASV_1832	0	0	0	0	38	0
ASV_445	0	0	0	3	38	0
ASV_477	0	0	0	0	36	0
ASV_821	0	0	0	12	36	0
ASV_210	0	0	0	0	35	0
ASV_1013	0	0	0	0	33	0
ASV_298	0	0	0	0	33	0
ASV_562	0	0	0	0	33	0
ASV_1293	0	0	0	0	30	0
ASV_301	0	0	0	13	29	0
ASV_610	0	0	0	0	29	0
ASV_1847	0	0	0	0	28	0
ASV_21	0	0	0	0	28	0
ASV_598	0	0	0	3	27	0
ASV_1098	0	0	0	0	25	0
ASV_1564	0	0	0	0	25	0
ASV_1419	0	0	0	0	24	0
ASV_1450	2	0	0	0	23	0
ASV_928	0	0	0	0	23	0
ASV_1169	0	0	0	0	22	0
ASV_136	0	0	0	0	20	0
ASV_207	0	0	0	18	6	0
ASV_219	0	0	0	14	18	0
ASV_19	5	5	0	0	17	0
ASV_387	0	0	0	17	0	0
ASV_674	0	0	0	0	17	0
ASV_721	0	0	0	12	17	0
ASV_1509	0	0	0	16	5	0
ASV_2171	0	0	0	0	15	0
ASV_284	0	0	0	0	15	0
ASV_694	0	0	0	0	15	0
ASV_534	0	0	0	14	3	0
ASV_215	0	0	0	0	13	0
ASV_338	0	0	0	0	13	0
ASV_1245	0	0	0	0	11	0
ASV_307	0	0	0	0	11	0
ASV_650	0	0	0	0	11	0
ASV_1657	0	0	0	0	10	0
ASV_2090	0	0	0	0	10	0
ASV_2494	0	0	0	0	9	0
ASV_261	0	0	0	9	3	0
ASV_976	0	0	0	0	9	0
ASV_250	0	0	0	5	8	0
ASV_2769	0	0	0	0	8	0
ASV_57	0	0	0	3	8	4
ASV_614	0	0	0	0	8	0
ASV_622	0	0	0	2	8	0
ASV_128	0	0	0	7	4	0
ASV_1314	0	0	0	0	7	0
ASV_1391	0	0	0	0	7	0
ASV_2632	0	0	0	7	0	0
ASV_3313	0	0	0	0	7	0
ASV_403	0	0	0	0	7	0
ASV_99	0	0	0	0	7	0
ASV_1022	0	0	0	0	6	0
ASV_1011	0	0	0	5	0	0
ASV_2520	0	0	0	0	5	0
ASV_969	0	0	0	0	5	0
ASV_2339	0	0	0	4	0	0
ASV_2551	0	0	0	0	4	0
ASV_659	0	0	0	0	4	0
ASV_1289	0	0	0	0	3	0
ASV_1372	0	0	0	0	3	0
ASV_1820	0	0	0	3	0	0
ASV_1998	0	0	0	3	0	0
ASV_3032	0	0	0	0	3	0
ASV_1264	0	0	0	0	2	0
ASV_1602	0	0	0	2	0	0
ASV_2949	0	0	0	0	2	0
ASV_4013	0	0	0	0	2	0
ASV_52	0	0	0	0	2	0
