OTU	Cervix	Vagina	Introitus	Ear	Anus	Stool
ASV_1	98307	92932	75900	28	66	360
ASV_7	6	662	1230	72370	4228	2046
ASV_4	14	2177	1457	294	57850	14
ASV_25	0	7	19	2	54	21878
ASV_5	5	5607	7555	20	214	6655
ASV_71	0	63	89	6	4481	4
ASV_97	0	0	4	0	1601	18
ASV_250	0	0	0	12	1177	0
ASV_69	0	0	3	8	955	10
ASV_27	0	4	3	10	759	0
ASV_56	0	0	5	15	509	33
ASV_261	0	0	0	0	447	0
ASV_364	0	0	0	0	413	0
ASV_112	0	0	0	0	229	10
ASV_511	0	0	0	0	178	0
ASV_79	0	0	0	133	29	2
ASV_153	0	0	0	7	118	0
ASV_44	0	0	3	2	104	4
ASV_403	0	0	0	0	89	0
ASV_598	0	0	0	0	65	0
ASV_57	0	0	0	0	0	57
ASV_19	0	2	3	0	0	52
ASV_306	0	0	0	3	52	0
ASV_90	0	2	3	0	0	51
ASV_1004	0	0	0	0	0	50
ASV_219	0	0	0	0	49	0
ASV_307	0	0	0	0	38	0
ASV_721	0	0	0	0	37	0
ASV_738	0	0	0	0	0	32
ASV_866	0	0	0	0	30	0
ASV_1184	0	0	0	0	29	0
ASV_401	0	0	0	0	29	0
ASV_415	0	0	0	0	0	28
ASV_136	0	0	0	0	0	27
ASV_1011	0	0	0	0	26	0
ASV_4479	0	0	0	0	26	0
ASV_181	0	0	0	5	24	0
ASV_1022	0	0	0	0	22	0
ASV_445	0	0	0	0	22	0
ASV_562	0	0	0	0	22	0
ASV_567	0	0	0	2	20	0
ASV_338	0	0	0	0	0	19
ASV_215	0	0	18	0	10	0
ASV_774	0	0	3	0	18	0
ASV_2498	17	0	0	0	0	0
ASV_976	0	0	0	0	0	16
ASV_928	0	0	0	0	0	15
ASV_55	0	4	3	0	0	14
ASV_813	0	0	0	0	13	0
ASV_1133	0	0	0	0	12	0
ASV_1327	0	0	0	0	12	0
ASV_298	0	0	0	0	11	0
ASV_301	0	0	0	0	11	0
ASV_488	0	0	0	2	11	0
ASV_1068	0	0	0	0	10	0
ASV_1509	0	0	0	0	10	0
ASV_152	0	0	0	0	10	0
ASV_348	0	0	0	4	10	0
ASV_1998	0	0	0	0	9	0
ASV_54	0	0	0	0	0	9
ASV_651	0	0	0	0	8	0
ASV_1146	0	0	0	0	0	7
ASV_21	0	0	0	0	0	7
ASV_610	0	6	7	2	7	0
ASV_674	0	0	0	0	7	0
ASV_1293	0	0	0	0	6	0
ASV_146	0	0	5	0	0	0
ASV_1820	0	0	0	0	5	0
ASV_1847	0	0	0	0	0	5
ASV_2632	0	5	0	0	0	0
ASV_1534	0	0	0	0	4	0
ASV_3237	0	0	0	0	4	3
ASV_650	0	0	0	0	4	0
ASV_1657	0	0	0	0	3	0
ASV_1694	0	0	0	3	0	0
ASV_1805	0	0	0	0	0	3
ASV_387	0	0	0	0	0	3
ASV_534	0	0	0	0	3	0
ASV_1031	0	0	0	0	2	0
ASV_120	0	0	0	0	2	0
ASV_134	0	0	0	0	2	0
ASV_1541	0	0	0	0	2	0
ASV_1576	0	2	0	0	0	0
ASV_1673	0	0	0	0	2	0
ASV_1852	0	0	0	2	0	0
ASV_210	0	0	0	0	2	0
ASV_2171	0	0	0	0	2	0
ASV_220	0	0	2	0	0	0
ASV_2376	0	0	0	0	2	0
ASV_3313	0	0	0	0	2	0
ASV_4215	0	0	0	0	2	0
ASV_53	0	0	0	2	2	0
ASV_99	0	0	0	0	2	2
