OTU	Vagina	Cervix	Introitus	Stool	Ear	Anus
ASV_1	121696	118290	102372	18	55.5	4229
ASV_5	0	38	10	92244	18.5	75
ASV_57	0	0	0	17	40918.5	115
ASV_7	7	3	3	67	36931	7721
ASV_56	4	0	0	0	3	5386
ASV_27	0	0	0	0	2	4950
ASV_79	0	0	0	2	19.5	4150
ASV_69	0	0	0	0	0	4051
ASV_19	680	2578	1439	0	0	268
ASV_153	0	0	0	0	3	2573
ASV_44	0	0	5	7	39.5	2475
ASV_97	0	0	0	0	0	2243
ASV_250	0	0	0	0	0	2040
ASV_128	0	0	2	0	1042.5	137
ASV_181	0	0	0	0	3	1135
ASV_261	0	0	0	0	0	1014
ASV_413	0	0	0	0	0	942
ASV_4	5	802	14	30	24.5	730
ASV_348	0	0	0	0	14	769
ASV_306	0	0	0	0	0	715
ASV_567	0	0	0	0	0	694
ASV_298	0	0	0	0	0	652
ASV_534	0	0	0	0	0	453
ASV_562	0	0	0	0	0	423
ASV_511	0	0	0	0	0	371
ASV_219	0	0	0	0	0	369
ASV_71	0	3	2	0	0	353
ASV_364	0	0	0	0	0	336
ASV_378	0	0	0	0	0	313
ASV_112	0	0	0	0	0	307
ASV_90	0	0	0	0	8	293
ASV_445	0	0	0	0	0	263
ASV_598	0	0	0	0	0	251
ASV_25	4	3	2	0	49	220
ASV_1098	0	0	0	0	0	209
ASV_928	0	0	0	2	161	6
ASV_1300	0	0	0	0	0	166
ASV_1068	0	0	0	0	3	149
ASV_52	0	0	0	0	0	143
ASV_1602	0	0	0	0	0	138
ASV_134	0	0	0	0	99	19
ASV_1184	0	0	0	0	0	136
ASV_488	0	0	0	0	2	136
ASV_307	0	0	0	0	0	127
ASV_152	0	0	0	0	0	121
ASV_1657	0	0	0	0	0	119
ASV_774	0	0	0	0	0	98
ASV_773	0	0	0	0	2	96
ASV_161	0	0	0	0	0	88
ASV_674	0	0	0	0	0	86
ASV_1069	0	0	0	0	0	80
ASV_434	0	0	0	0	0	80
ASV_813	0	0	0	0	0	79
ASV_1541	0	0	0	0	0	78
ASV_55	3	0	0	0	5	71
ASV_610	0	0	0	0	0	70
ASV_1022	0	0	0	0	0	67
ASV_146	9	0	2	0	0	66
ASV_1475	0	0	0	0	0	63
ASV_338	6	0	2	0	0	53
ASV_984	0	0	0	0	0	41
ASV_3237	0	0	0	0	0	32
ASV_1011	0	0	0	0	0	31
ASV_1138	0	0	0	0	0	25
ASV_218	0	0	0	0	0	25
ASV_1318	0	0	0	0	0	24
ASV_1918	0	0	0	0	0	24
ASV_174	0	0	0	0	0	23
ASV_1673	0	0	0	0	0	22
ASV_136	0	0	0	0	2	20
ASV_220	0	0	0	0	0	20
ASV_1852	0	0	0	0	0	18
ASV_2171	0	0	0	0	0	18
ASV_401	0	0	0	0	0	18
ASV_438	0	0	0	0	0	18
ASV_1391	6	0	0	0	0	17
ASV_2363	0	0	0	0	0	17
ASV_866	0	0	0	0	0	17
ASV_3266	0	0	0	0	0	16
ASV_4629	0	0	0	0	0	16
ASV_1379	0	0	0	0	0	14
ASV_1314	0	0	0	0	0	13
ASV_614	0	0	0	0	0	13
ASV_826	7	0	0	0	0	13
ASV_4013	0	0	0	0	0	12
ASV_139	0	0	0	0	0	11
ASV_207	0	0	0	0	3	11
ASV_1047	0	0	0	0	0	9
ASV_1327	0	0	0	0	0	9
ASV_1576	9	0	0	0	0	0
ASV_1832	0	0	0	0	0	9
ASV_21	0	0	0	0	0	9
ASV_2100	0	0	0	0	0	9
ASV_477	5	0	0	0	0	9
ASV_1289	0	0	0	0	0	8
ASV_1372	0	0	0	0	0	8
ASV_1419	0	0	0	0	0	8
ASV_2551	0	0	0	0	0	8
ASV_694	0	0	0	0	0	8
ASV_2801	0	0	0	0	7	0
ASV_3337	0	0	0	0	0	7
ASV_1004	0	0	0	0	0	6
ASV_651	0	0	0	0	0	6
ASV_976	6	0	0	0	6	6
ASV_1169	0	0	0	0	0	5
ASV_1427	0	0	0	0	0	5
ASV_1450	0	0	0	0	2	5
ASV_1702	0	0	0	0	0	5
ASV_1146	0	0	0	0	4	0
ASV_387	0	0	0	0	0	4
ASV_622	0	0	0	0	0	4
ASV_1208	0	0	0	0	0	3
ASV_1684	0	0	0	0	0	3
ASV_2254	0	0	0	0	0	3
ASV_2842	0	0	0	0	0	3
ASV_4360	0	0	0	0	0	3
ASV_4991	0	0	0	0	0	3
ASV_1847	0	0	0	0	0	2
ASV_2166	0	0	0	0	0	2
ASV_2494	0	0	0	0	0	2
ASV_2769	2	0	0	0	0	0
ASV_659	0	0	0	0	2	0
ASV_969	0	0	0	0	0	2
