OTU	Vagina	Cervix	Introitus	Ear	Anus
ASV_1	91437	81384	61749	66	631
ASV_7	6	0	93	54276	652
ASV_4	2	7	2	3	38504
ASV_128	0	0	0	35033	0
ASV_25	821	5	6318	2	12157
ASV_71	0	0	2	0	8811
ASV_120	0	0	0	0	8328
ASV_401	0	0	0	0	2953
ASV_69	0	0	0	0	1601
ASV_27	0	0	2	0	1575
ASV_56	2	0	0	4	963
ASV_364	0	0	0	0	707
ASV_97	0	0	0	0	459
ASV_250	0	0	0	0	372
ASV_79	0	0	0	0	358
ASV_522	0	0	0	0	264
ASV_284	0	0	0	0	244
ASV_21	0	0	0	0	238
ASV_90	0	0	0	0	221
ASV_215	0	0	0	115	0
ASV_610	0	0	0	0	112
ASV_44	0	0	5	11	107
ASV_307	0	0	0	0	97
ASV_5	96	16	6	6	7
ASV_813	0	0	0	0	80
ASV_598	0	0	0	0	78
ASV_747	0	0	0	0	77
ASV_774	0	0	0	0	77
ASV_261	0	0	0	0	75
ASV_413	0	0	0	0	75
ASV_1509	0	0	0	0	64
ASV_1184	0	0	0	0	60
ASV_152	0	0	0	0	60
ASV_47	0	0	0	0	54
ASV_866	0	0	0	0	41
ASV_306	0	0	0	0	38
ASV_1011	0	0	0	0	37
ASV_219	0	0	2	0	35
ASV_1068	0	0	0	0	22
ASV_153	0	0	0	0	22
ASV_387	0	0	0	0	21
ASV_511	0	0	0	0	16
ASV_1918	0	0	0	0	15
ASV_1047	0	0	0	0	14
ASV_1588	0	0	0	0	13
ASV_1541	0	0	0	0	12
ASV_1968	0	0	0	0	12
ASV_488	0	0	0	0	12
ASV_806	0	0	0	0	12
ASV_181	0	0	0	0	11
ASV_161	0	0	0	0	10
ASV_19	0	10	0	6	0
ASV_650	0	0	0	0	10
ASV_99	0	0	0	0	9
ASV_174	0	0	0	0	8
ASV_378	0	0	0	8	0
ASV_721	0	0	0	0	7
ASV_348	0	0	0	0	6
ASV_897	0	0	0	0	6
ASV_53	0	0	0	0	5
ASV_1657	0	0	0	0	4
ASV_2171	0	0	0	0	4
ASV_976	0	0	0	4	0
ASV_112	0	0	0	0	3
ASV_1264	0	0	0	3	0
ASV_1318	0	0	0	0	3
ASV_1327	0	0	0	0	3
ASV_139	0	0	0	0	3
ASV_1475	0	0	0	0	3
ASV_1702	0	0	0	0	3
ASV_2425	0	0	0	0	3
ASV_2498	0	3	0	0	0
ASV_298	0	0	0	0	3
ASV_659	0	0	0	3	0
ASV_146	0	0	2	2	0
ASV_477	0	0	0	2	0
ASV_52	0	0	0	2	0
ASV_534	0	0	0	0	2
