OTU	Vagina	Introitus	Stool	Cervix	Ear	Anus
ASV_1	95842	90685	35	80583	6930	158
ASV_5	19	17	82402	17	1060	25
ASV_181	0	2	0	0	769	5210
ASV_79	0	2	0	0	957	3664
ASV_27	11	13	0	2	368	3088
ASV_7	95	140	87	18	2607	2422
ASV_4	16	14	3	2	2372	56
ASV_153	0	0	0	0	0	1930
ASV_567	0	2	0	0	26	1777
ASV_90	0	0	0	0	3	1536
ASV_55	0	0	0	0	1334	0
ASV_348	0	0	0	0	34	996
ASV_25	7	20	74	3	924	788
ASV_56	3	7	0	0	428	899
ASV_774	0	0	0	0	0	808
ASV_773	0	0	0	0	0	796
ASV_69	3	6	0	0	175	789
ASV_71	0	10	0	0	416	737
ASV_562	0	0	0	0	0	732
ASV_57	0	0	696	0	21	0
ASV_534	0	0	0	0	0	635
ASV_1684	0	0	0	0	591	0
ASV_44	18	29	0	2	449	559
ASV_445	0	0	0	0	213	508
ASV_651	0	0	0	0	0	496
ASV_97	0	0	0	0	483	3
ASV_53	0	0	0	0	475	0
ASV_598	0	0	0	0	0	469
ASV_146	0	0	0	0	464	2
ASV_674	0	0	0	0	90	423
ASV_298	0	0	0	0	108	406
ASV_99	163	149	0	25	0	381
ASV_1068	0	0	0	0	11	337
ASV_1169	0	0	0	0	2	337
ASV_210	0	0	8	0	0	334
ASV_1184	0	0	0	0	0	322
ASV_1960	0	0	0	0	0	271
ASV_477	0	0	0	0	248	0
ASV_122	0	0	0	0	242	0
ASV_488	0	0	0	0	0	230
ASV_821	0	0	0	0	2	227
ASV_134	0	0	0	0	217	0
ASV_1031	0	0	0	0	0	212
ASV_1289	0	0	0	0	194	0
ASV_1832	0	0	0	0	0	191
ASV_659	7	0	0	0	190	20
ASV_1661	0	0	0	0	184	0
ASV_161	0	0	0	0	66	182
ASV_1314	0	0	0	0	0	180
ASV_1598	0	0	0	0	180	0
ASV_1133	0	0	0	0	0	153
ASV_112	0	0	0	0	74	148
ASV_1069	0	0	0	0	0	143
ASV_207	2	9	0	0	73	143
ASV_866	0	0	0	0	3	140
ASV_1602	0	0	0	0	0	138
ASV_387	0	0	0	0	0	134
ASV_1576	0	0	0	0	128	0
ASV_1245	0	0	0	0	127	0
ASV_1541	0	0	0	0	0	125
ASV_174	0	0	0	0	0	125
ASV_1022	0	0	0	0	0	120
ASV_622	0	0	0	0	118	0
ASV_307	0	0	0	0	116	99
ASV_2175	0	0	0	0	115	0
ASV_1379	0	0	0	0	0	112
ASV_976	0	0	0	0	111	0
ASV_721	0	0	0	0	0	105
ASV_136	3	0	0	0	96	29
ASV_1208	0	0	0	0	0	90
ASV_52	0	0	0	0	87	0
ASV_969	0	0	0	0	85	56
ASV_152	0	0	0	0	0	82
ASV_1146	0	0	0	0	74	0
ASV_813	0	0	0	0	0	74
ASV_19	0	0	0	4	71	0
ASV_1013	0	0	0	0	68	0
ASV_1673	0	0	0	0	0	67
ASV_1300	0	0	0	0	0	63
ASV_1327	0	0	0	0	0	63
ASV_220	0	0	0	0	58	0
ASV_1475	0	0	0	0	0	53
ASV_897	0	0	0	0	53	0
ASV_1293	0	0	0	0	0	52
ASV_3237	0	0	0	0	0	47
ASV_1847	0	0	0	0	45	0
ASV_1318	0	0	0	0	0	42
ASV_1372	0	0	0	0	0	41
ASV_1657	0	0	0	0	0	39
ASV_21	0	0	0	0	39	0
ASV_250	0	0	0	0	39	0
ASV_1694	0	0	0	0	37	0
ASV_438	0	0	0	0	37	0
ASV_1450	0	0	0	0	36	0
ASV_215	0	0	0	0	36	0
ASV_1852	0	0	0	0	0	34
ASV_403	0	0	0	0	0	32
ASV_1264	0	0	0	0	31	0
ASV_364	0	0	0	0	0	31
ASV_415	0	0	29	0	0	16
ASV_1381	0	0	0	0	28	0
ASV_1419	0	0	0	0	27	0
ASV_54	0	0	0	0	22	0
ASV_219	0	0	0	0	0	21
ASV_4360	0	0	0	0	0	21
ASV_984	0	0	0	0	21	0
ASV_614	0	0	0	0	20	0
ASV_306	0	0	0	0	16	19
ASV_4629	0	0	0	0	0	19
ASV_519	0	0	0	0	19	0
ASV_1427	0	0	0	0	15	0
ASV_2458	0	0	0	0	15	0
ASV_128	0	0	0	0	13	0
ASV_3085	0	0	0	0	13	0
ASV_1011	0	0	0	0	12	9
ASV_1702	0	0	0	0	0	12
ASV_261	0	0	0	0	12	0
ASV_1361	0	0	0	0	11	0
ASV_2498	10	6	0	5	0	0
ASV_3096	0	0	0	0	10	0
ASV_610	0	0	0	0	9	0
ASV_826	0	0	0	0	9	0
ASV_1534	0	0	0	0	0	7
ASV_2551	0	0	0	0	7	0
ASV_511	0	0	0	0	7	0
ASV_284	0	0	0	0	6	0
ASV_301	0	0	0	0	0	6
ASV_4414	0	0	0	0	0	6
ASV_4991	0	0	0	0	0	6
ASV_2363	0	0	0	0	0	5
ASV_2494	0	0	0	0	5	0
ASV_1918	0	0	0	0	0	4
ASV_2769	0	0	0	0	4	0
ASV_2499	0	0	0	0	0	3
ASV_2549	0	0	0	0	0	3
ASV_3266	0	0	0	0	0	3
ASV_338	0	0	0	0	3	0
ASV_1047	0	0	0	0	0	2
ASV_2171	0	0	0	0	0	2
ASV_2485	0	0	0	0	0	2
ASV_4118	0	0	0	0	0	2
ASV_806	0	0	0	0	0	2
ASV_928	0	0	0	0	2	0
