OTU	Vagina	Introitus	Stool	Ear	Cervix	Anus
ASV_1	107678	106857	26	126	79738	188
ASV_5	13	143	100831	45	6	22
ASV_7	56	339	1400	91487	0	1208
ASV_56	7	78	0	4	0	5832
ASV_403	0	0	0	0	0	5006
ASV_4	25	253	13	13	6	4863
ASV_27	58	337	0	2	2	4023
ASV_71	11	74	0	0	0	3992
ASV_69	15	125	0	2	0	3951
ASV_97	0	0	0	0	0	2363
ASV_250	0	0	0	0	0	1505
ASV_207	122	820	1234	0	12	2
ASV_44	43	297	0	2	0	1225
ASV_1047	0	0	0	0	0	1029
ASV_25	6	60	120	3	3	585
ASV_364	6	21	0	0	0	517
ASV_19	117	409	0	0	2	17
ASV_112	0	6	0	0	0	379
ASV_1011	2	0	0	0	0	374
ASV_445	0	0	0	3	0	368
ASV_2275	0	0	0	0	0	308
ASV_79	2	0	2	29	0	271
ASV_511	0	0	0	0	0	247
ASV_2268	0	0	0	0	0	220
ASV_219	13	174	0	0	0	188
ASV_1534	0	0	0	0	0	173
ASV_57	0	0	169	0	0	0
ASV_181	0	0	0	2	0	160
ASV_866	0	0	0	0	0	159
ASV_1184	0	0	0	0	0	131
ASV_90	0	0	2	0	0	124
ASV_21	4	0	0	0	8	120
ASV_306	0	0	0	0	0	107
ASV_650	0	0	0	0	0	106
ASV_1098	0	0	0	0	0	99
ASV_1169	0	0	0	2	0	96
ASV_153	0	0	0	0	0	95
ASV_218	0	0	0	0	0	71
ASV_1322	9	70	0	0	3	0
ASV_2425	0	0	0	0	0	68
ASV_598	0	0	0	0	0	65
ASV_659	6	64	0	0	0	2
ASV_1998	0	0	0	0	0	54
ASV_610	8	51	0	0	0	24
ASV_1208	0	0	0	0	0	47
ASV_534	0	0	0	0	0	46
ASV_901	7	45	0	0	2	0
ASV_99	0	0	0	0	0	39
ASV_562	0	0	0	0	0	38
ASV_1318	0	0	0	0	0	37
ASV_721	0	0	0	0	0	34
ASV_174	0	0	0	0	0	31
ASV_152	0	0	0	2	0	29
ASV_2171	0	0	0	0	0	29
ASV_773	0	0	0	0	0	29
ASV_284	0	0	0	0	0	28
ASV_1820	0	0	0	0	0	27
ASV_438	0	0	27	0	0	0
ASV_136	0	0	21	0	0	0
ASV_1372	0	0	0	0	0	20
ASV_4479	0	0	0	0	0	20
ASV_387	0	0	0	0	0	16
ASV_813	0	4	0	0	0	16
ASV_767	0	0	0	0	0	15
ASV_928	0	0	15	0	0	0
ASV_1541	0	0	0	0	0	13
ASV_210	0	0	0	0	0	13
ASV_1509	0	0	0	0	0	11
ASV_1702	0	9	0	0	0	2
ASV_1918	0	0	0	0	0	9
ASV_348	0	0	0	9	0	0
ASV_567	0	0	0	0	0	9
ASV_1293	0	0	0	0	0	8
ASV_55	0	0	0	8	0	0
ASV_747	0	0	0	0	0	8
ASV_307	0	0	0	0	0	7
ASV_488	0	0	0	0	0	7
ASV_134	0	0	0	6	0	0
ASV_1475	0	0	0	2	0	6
ASV_1968	0	0	0	0	0	6
ASV_774	2	6	0	0	0	0
ASV_161	0	0	0	0	0	5
ASV_338	0	0	0	5	0	0
ASV_1022	0	0	0	0	0	4
ASV_1264	0	0	0	4	0	0
ASV_215	2	4	0	0	0	0
ASV_2549	0	0	0	0	0	4
ASV_401	0	4	0	0	0	0
ASV_53	0	0	0	0	0	4
ASV_1300	0	0	0	0	0	3
ASV_220	0	0	0	3	0	0
ASV_2632	0	0	3	0	0	0
ASV_3278	0	0	0	0	0	3
ASV_4013	0	0	0	0	0	3
ASV_540	0	3	0	0	0	0
ASV_614	0	0	0	0	0	3
ASV_976	0	0	0	3	0	0
ASV_1031	0	0	0	0	0	2
ASV_1133	0	0	0	0	0	2
ASV_139	0	0	0	2	0	0
ASV_1657	0	0	0	0	0	2
ASV_1960	0	0	0	0	0	2
ASV_2551	0	0	0	2	0	0
ASV_2776	0	2	0	0	0	0
ASV_301	2	0	0	0	0	0
ASV_434	2	0	0	0	0	0
ASV_47	0	2	0	0	0	0
ASV_477	0	0	0	0	0	2
