OTU	Anus	Stool	Introitus	Cervix	Vagina	Ear
ASV_7	81494	24526	54016	371	19841	17917
ASV_5	1040	58463	14	17	14	487
ASV_1	47	55	3471	40611	10383	2917
ASV_21	15	0	4907	32216	13960	0
ASV_71	26	0	22228	2085	12639	178
ASV_90	0	0	7309	4740	11429	33
ASV_44	1728	0	34	0	8	2666
ASV_56	1566	0	11	2	4	180
ASV_27	1428	0	21	0	9	211
ASV_207	0	886	23	0	9	94
ASV_69	723	0	4	0	0	258
ASV_25	0	722	8	2	2	580
ASV_220	0	0	0	0	0	617
ASV_378	0	0	0	0	0	577
ASV_477	0	0	0	0	0	531
ASV_55	0	0	0	0	0	487
ASV_901	0	0	36	428	204	0
ASV_826	0	0	0	0	0	362
ASV_79	10	5	0	0	0	317
ASV_4	20	4	43	20	14	310
ASV_1450	0	0	0	0	0	263
ASV_122	0	0	0	0	0	259
ASV_976	0	0	0	0	0	258
ASV_338	0	0	0	0	0	249
ASV_128	0	0	0	0	0	245
ASV_134	0	0	0	0	0	233
ASV_1146	0	0	0	0	0	212
ASV_622	0	0	0	0	0	207
ASV_146	0	0	0	0	0	203
ASV_614	0	0	0	0	0	159
ASV_1264	0	0	0	0	0	158
ASV_659	0	0	0	0	0	154
ASV_540	0	0	0	0	0	153
ASV_348	0	0	0	0	0	141
ASV_306	16	0	0	0	0	114
ASV_438	0	0	0	0	0	97
ASV_112	93	0	0	0	0	0
ASV_417	0	0	0	0	0	92
ASV_598	2	0	0	0	0	92
ASV_928	0	91	0	0	0	36
ASV_1208	0	0	0	0	0	89
ASV_19	0	0	2	0	0	89
ASV_1617	0	0	0	0	0	88
ASV_3096	0	0	0	0	0	87
ASV_97	86	0	2	0	0	51
ASV_364	26	0	36	84	35	0
ASV_2551	0	0	0	0	0	74
ASV_519	0	0	0	0	0	73
ASV_434	23	0	0	0	0	70
ASV_1013	0	0	0	0	0	60
ASV_650	10	0	0	0	0	57
ASV_610	53	0	3	0	0	0
ASV_511	51	0	0	0	0	0
ASV_181	0	0	0	0	0	47
ASV_307	0	0	0	0	0	47
ASV_1011	10	0	0	0	0	46
ASV_57	0	21	0	0	0	44
ASV_387	0	0	0	0	0	42
ASV_403	42	0	0	0	0	0
ASV_773	0	0	0	0	0	41
ASV_585	0	0	7	40	12	3
ASV_1576	0	0	0	0	0	38
ASV_120	0	0	0	0	0	37
ASV_53	0	0	0	0	0	35
ASV_1289	0	0	0	0	0	34
ASV_161	0	0	0	0	0	33
ASV_250	28	0	0	0	0	32
ASV_774	0	0	0	0	0	31
ASV_2769	0	0	0	0	0	25
ASV_488	0	0	0	0	0	25
ASV_1022	0	0	0	0	0	23
ASV_1300	0	0	0	0	0	22
ASV_1944	0	0	0	0	0	22
ASV_2842	0	0	0	0	0	22
ASV_2494	0	0	0	0	0	21
ASV_1004	0	0	0	0	0	20
ASV_984	0	0	0	0	0	20
ASV_1379	0	0	0	0	0	19
ASV_1184	0	0	0	0	0	18
ASV_1661	0	0	0	0	0	18
ASV_219	18	0	0	0	0	0
ASV_1361	0	0	0	0	0	16
ASV_445	0	0	0	0	0	15
ASV_721	0	0	0	0	0	11
ASV_1427	0	0	0	0	0	10
ASV_813	10	0	0	0	0	0
ASV_153	9	0	0	0	0	5
ASV_1534	9	0	0	0	0	0
ASV_1862	9	0	0	0	0	0
ASV_3191	0	0	0	0	0	9
ASV_152	5	0	0	0	0	8
ASV_284	8	0	0	0	0	0
ASV_1694	0	0	0	0	0	7
ASV_215	0	0	0	0	0	7
ASV_1419	0	0	0	0	0	6
ASV_1820	3	0	0	0	0	6
ASV_534	0	0	0	0	0	6
ASV_562	0	0	0	0	0	6
ASV_674	0	0	0	0	0	6
ASV_4623	0	0	0	0	0	5
ASV_1047	4	0	0	0	0	0
ASV_2275	4	0	0	0	0	0
ASV_3344	0	0	0	0	0	4
ASV_1052	0	0	0	0	0	3
ASV_1098	3	0	0	0	0	0
ASV_139	0	0	0	0	3	0
ASV_2632	0	3	0	0	0	0
ASV_4013	3	0	0	0	0	0
ASV_1381	0	0	0	0	0	2
ASV_174	0	2	0	0	0	0
ASV_2425	2	0	0	0	0	0
