OTU	Vagina	Cervix	Stool	Introitus	Anus	Ear
ASV_1	79864	71718	133	61513	30	2073
ASV_5	17	15	69769	3	9	15
ASV_4	4278	8	20	599	51199	3139
ASV_53	0	0	0	17	14703	264
ASV_7	118	0	8958	60	630	1219
ASV_25	6	0	3024	3	188	543
ASV_378	0	0	0	0	0	2687
ASV_181	0	0	0	0	2267	2
ASV_79	0	0	4	0	2084	419
ASV_220	13	0	0	0	0	1657
ASV_153	2	0	4	0	1097	26
ASV_19	366	692	2	561	2	547
ASV_44	11	0	46	2	38	676
ASV_146	14	0	2	0	0	637
ASV_348	0	0	0	0	485	0
ASV_445	0	0	0	0	478	44
ASV_27	2	0	19	0	117	447
ASV_161	0	0	0	0	29	445
ASV_567	0	0	0	0	387	0
ASV_298	0	0	0	0	373	0
ASV_477	0	0	0	0	0	358
ASV_90	0	0	0	0	295	0
ASV_56	0	0	23	0	56	275
ASV_984	0	0	0	0	0	261
ASV_1169	0	0	0	0	256	0
ASV_57	0	0	243	0	0	7
ASV_534	0	0	3	0	227	0
ASV_284	0	0	0	0	214	38
ASV_674	0	0	0	0	202	0
ASV_2458	0	0	0	0	0	198
ASV_721	0	0	0	0	198	0
ASV_562	0	0	0	0	175	0
ASV_651	0	0	0	0	168	0
ASV_866	0	0	2	0	166	0
ASV_976	0	0	0	0	0	160
ASV_1068	0	0	0	0	158	0
ASV_773	0	0	0	0	155	0
ASV_488	0	0	0	0	136	0
ASV_71	0	0	20	0	21	129
ASV_598	2	0	0	0	118	0
ASV_1133	0	0	0	0	113	0
ASV_306	0	0	0	0	0	110
ASV_650	0	0	0	0	0	104
ASV_1069	0	0	0	0	93	0
ASV_1918	0	0	0	0	0	86
ASV_134	6	0	0	0	0	85
ASV_152	0	0	0	0	81	0
ASV_585	81	30	6	41	0	0
ASV_1184	0	0	0	0	79	0
ASV_403	0	0	0	0	76	0
ASV_1379	0	0	0	0	71	0
ASV_1694	0	0	0	0	71	0
ASV_415	0	0	68	0	0	0
ASV_614	0	0	20	2	0	65
ASV_1588	2	0	0	0	63	0
ASV_969	0	0	0	0	62	0
ASV_928	0	0	56	0	0	0
ASV_821	0	0	0	0	55	0
ASV_2363	0	0	0	0	49	0
ASV_1673	0	0	0	0	44	0
ASV_1300	0	0	0	0	42	0
ASV_1602	0	0	0	0	40	0
ASV_2100	0	0	0	0	0	39
ASV_261	0	0	0	0	0	37
ASV_69	0	0	3	0	36	20
ASV_1031	0	0	0	0	35	0
ASV_434	0	0	0	0	0	35
ASV_1805	0	0	0	0	0	32
ASV_1657	0	0	0	0	31	0
ASV_364	30	23	0	8	2	23
ASV_3237	0	0	0	0	27	0
ASV_136	0	0	0	0	25	0
ASV_1245	0	0	0	0	0	23
ASV_1314	0	0	0	0	23	0
ASV_2551	0	0	0	0	0	23
ASV_55	0	0	0	0	0	21
ASV_207	3	0	0	0	20	0
ASV_307	0	0	0	0	18	0
ASV_774	0	0	0	0	18	0
ASV_128	0	0	0	0	0	17
ASV_1318	0	0	0	0	17	0
ASV_1475	0	0	0	0	17	0
ASV_3032	0	0	15	0	0	0
ASV_97	0	0	15	0	0	0
ASV_1820	0	0	0	0	14	0
ASV_1509	0	0	0	0	13	0
ASV_610	0	0	0	0	0	13
ASV_622	0	0	0	0	0	13
ASV_1004	0	0	12	0	0	0
ASV_2339	0	0	0	0	12	0
ASV_1391	10	0	0	0	0	0
ASV_1293	0	0	0	0	9	6
ASV_3344	0	0	0	0	0	9
ASV_413	0	0	0	0	9	0
ASV_540	0	0	3	0	0	9
ASV_1322	0	0	7	0	0	0
ASV_1832	0	0	0	0	7	0
ASV_694	7	0	0	0	0	0
ASV_2171	0	0	0	0	6	0
ASV_3792	0	0	6	0	0	0
ASV_4414	0	0	0	0	6	0
ASV_4991	0	0	0	0	6	0
ASV_1011	0	0	0	0	0	5
ASV_120	0	0	0	0	5	0
ASV_1327	0	0	0	0	5	0
ASV_1372	0	0	0	0	5	0
ASV_1960	0	0	0	0	5	0
ASV_2549	0	0	0	0	4	0
ASV_1541	0	0	0	0	3	0
ASV_219	0	0	3	0	0	0
ASV_2632	0	0	3	0	0	0
ASV_3313	0	0	0	0	3	0
ASV_438	0	0	3	0	0	0
ASV_54	0	3	0	0	0	0
ASV_112	0	0	0	0	2	0
ASV_139	0	0	0	0	0	2
ASV_1576	2	0	0	0	0	0
ASV_1847	0	0	2	0	0	0
ASV_301	0	0	0	0	0	2
ASV_659	0	0	2	0	0	0
