ASV_1	ASV_4	ASV_5	ASV_7	ASV_19	ASV_21	ASV_25	ASV_27	ASV_44	ASV_47	ASV_52	ASV_53	ASV_54	ASV_55	ASV_56	ASV_57	ASV_69	ASV_71	ASV_79	ASV_90	ASV_97	ASV_99	ASV_112	ASV_120	ASV_122	ASV_128	ASV_134	ASV_136	ASV_139	ASV_146	ASV_152	ASV_153	ASV_161	ASV_174	ASV_181	ASV_207	ASV_210	ASV_215	ASV_218	ASV_219	ASV_220	ASV_250	ASV_261	ASV_284	ASV_298	ASV_301	ASV_306	ASV_307	ASV_338	ASV_348	ASV_364	ASV_378	ASV_387	ASV_401	ASV_403	ASV_413	ASV_415	ASV_417	ASV_434	ASV_438	ASV_445	ASV_477	ASV_488	ASV_511	ASV_519	ASV_522	ASV_534	ASV_540	ASV_562	ASV_567	ASV_585	ASV_598	ASV_610	ASV_614	ASV_622	ASV_650	ASV_651	ASV_659	ASV_674	ASV_694	ASV_721	ASV_724	ASV_738	ASV_747	ASV_754	ASV_767	ASV_773	ASV_774	ASV_806	ASV_813	ASV_821	ASV_826	ASV_845	ASV_866	ASV_897	ASV_901	ASV_928	ASV_969	ASV_976	ASV_984	ASV_1002	ASV_1004	ASV_1011	ASV_1013	ASV_1022	ASV_1031	ASV_1047	ASV_1052	ASV_1068	ASV_1069	ASV_1098	ASV_1133	ASV_1138	ASV_1146	ASV_1169	ASV_1184	ASV_1208	ASV_1245	ASV_1264	ASV_1289	ASV_1293	ASV_1300	ASV_1314	ASV_1318	ASV_1322	ASV_1327	ASV_1336	ASV_1361	ASV_1372	ASV_1379	ASV_1381	ASV_1391	ASV_1419	ASV_1427	ASV_1450	ASV_1475	ASV_1509	ASV_1534	ASV_1541	ASV_1564	ASV_1576	ASV_1588	ASV_1598	ASV_1602	ASV_1610	ASV_1617	ASV_1657	ASV_1661	ASV_1666	ASV_1673	ASV_1684	ASV_1694	ASV_1702	ASV_1805	ASV_1820	ASV_1832	ASV_1847	ASV_1852	ASV_1862	ASV_1918	ASV_1925	ASV_1944	ASV_1960	ASV_1968	ASV_1998	ASV_2022	ASV_2070	ASV_2090	ASV_2100	ASV_2166	ASV_2171	ASV_2175	ASV_2204	ASV_2223	ASV_2254	ASV_2268	ASV_2275	ASV_2339	ASV_2342	ASV_2363	ASV_2376	ASV_2425	ASV_2458	ASV_2467	ASV_2485	ASV_2488	ASV_2494	ASV_2498	ASV_2499	ASV_2520	ASV_2549	ASV_2551	ASV_2597	ASV_2607	ASV_2632	ASV_2769	ASV_2776	ASV_2801	ASV_2842	ASV_2895	ASV_2949	ASV_3032	ASV_3085	ASV_3096	ASV_3191	ASV_3237	ASV_3266	ASV_3278	ASV_3313	ASV_3337	ASV_3344	ASV_3446	ASV_3487	ASV_3507	ASV_3792	ASV_3900	ASV_4013	ASV_4037	ASV_4118	ASV_4215	ASV_4360	ASV_4414	ASV_4479	ASV_4623	ASV_4629	ASV_4984	ASV_4991	ASV_4997
208	7	31	25	22526	2465	494	134	158	0	0	0	0	0	1377	0	3184	9514	2	1	2232	0	812	0	0	3	0	0	1	1	1	1	0	0	3	0	0	3105	7466	75	0	3362	13	0	0	158	56	199	0	0	1992	0	387	0	0	0	0	5096	2077	0	1	0	0	6	0	0	1	0	0	1	0	0	115	0	0	92	0	0	0	0	0	0	861	0	0	0	0	35	763	18	0	0	1058	0	2	48	0	0	0	0	0	1	7	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	14	0	0	0	0	0	0	0	0	0	220	0	0	0	41	31	0	22	0	0	0	0	0	0	0	0	0	0	0	0	102	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
171	8	13	7	34205	6111	19	23	39	0	0	0	0	0	25	0	52	1581	0	0	13	0	10	0	0	0	0	0	0	0	0	2	0	0	0	0	0	6766	11502	13	0	27	0	0	0	2	0	2	0	0	479	0	7	0	0	0	0	3605	2290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	977	0	0	0	0	2	663	0	0	0	5	0	0	19	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
182	3	4	1	41925	6572	9	2	9	0	0	0	0	0	4	0	13	2091	13	0	0	0	1	0	0	0	0	0	0	0	3	4	0	0	4	0	0	9550	1994	1	0	5	0	0	1	0	0	0	1	3	617	0	0	0	0	0	0	3147	3541	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1580	0	0	0	0	0	701	0	0	0	0	0	0	11	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	3806	19	32	294	108	21	869	13186	0	0	0	0	1	9485	0	7179	714	5	26	2191	2	130	0	0	1	2	0	13	0	3	0	3	0	0	4	2	14	72	773	0	3709	23	4	0	441	389	29	0	0	353	0	0	0	0	0	0	15	121	0	0	0	0	29	9	0	1	8	1	0	0	0	420	0	1	2	0	0	0	0	0	0	6	0	0	0	0	12	10	359	0	0	9	17	60	0	0	0	0	0	0	0	6	1	6	0	1	0	0	0	92	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	10	0	0	0	16	0	0	0	1	0	0	0	0	0	40	0	0	0	2	2	2	28	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0
25	46	34	70699	0	0	466	2	1196	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	9	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76595	7	19	69	0	0	4	5	1	0	0	0	0	1	7	0	3	7	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
91349	4	8	13	0	0	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73273	6	14	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7495	241	4106	9396	0	523	1116	6456	147	1	0	0	1	15	3176	0	5429	6298	333	7	520	30	227	0	2	1	6	2	0	2	14	99	15	2	72	0	0	0	132	2019	3	693	2	98	22	1	159	247	1	5	2020	10	5	88	211	0	0	0	0	0	8	0	26	0	897	0	242	0	7	0	0	201	456	13	2	157	0	1	0	2	0	0	0	0	0	0	1	143	0	466	0	0	0	36	0	1	0	2	1	2	0	0	2	0	76	0	21	0	0	1	347	149	0	2	16	33	0	0	0	0	50	0	1	20	0	48	0	2	0	7	1	0	4	2	4	7	0	12	91	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	17	0	2	0	8	0	0	242	0	0	0	0	0	0	3	8	0	0	0	0	4	20	34	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	6	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
95	60	53665	14516	7	10	15100	0	32	0	0	6	0	54	2	0	0	0	1	22	20	0	0	0	0	0	14	0	0	1	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	26	0	35	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	11	0	0	0	1	0	0	0	0	0	47	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
