OTU	Vagina	Introitus	Cervix	Ear	Stool	Anus
ASV_1	91349	76595	73273	23	95	7495
ASV_7	13	69	3	71188	14516	9396
ASV_5	8	19	14	14	53665	4106
ASV_25	0	4	0	100	15100	1116
ASV_44	0	0	0	8763	32	147
ASV_27	0	5	0	8	0	6456
ASV_71	0	7	0	9	0	6298
ASV_69	0	3	0	35	0	5429
ASV_56	0	7	0	46	2	3176
ASV_364	0	0	0	0	0	2020
ASV_219	0	0	0	0	0	2019
ASV_519	0	0	0	0	0	897
ASV_250	0	0	0	10	0	693
ASV_21	0	0	0	9	10	523
ASV_97	0	0	0	26	20	520
ASV_813	0	0	0	2	0	466
ASV_610	0	0	0	7	0	456
ASV_1098	0	0	0	0	0	347
ASV_79	0	0	0	3	0	333
ASV_307	0	0	0	4	0	247
ASV_1960	0	0	0	0	0	242
ASV_534	0	0	0	0	0	242
ASV_4	4	7	6	39	60	241
ASV_112	0	0	0	3	0	227
ASV_403	0	0	0	0	0	211
ASV_598	0	0	0	3	26	201
ASV_306	0	0	0	20	0	159
ASV_650	0	0	0	0	0	157
ASV_1133	0	0	0	0	0	149
ASV_774	0	0	0	0	0	143
ASV_218	0	0	0	2	0	132
ASV_55	0	0	0	103	54	15
ASV_153	0	0	0	14	0	99
ASV_284	0	0	0	2	0	98
ASV_1541	0	0	0	0	0	91
ASV_401	0	0	0	0	0	88
ASV_1022	0	0	0	0	0	76
ASV_181	0	0	0	3	0	72
ASV_614	0	0	0	63	35	13
ASV_1293	0	0	0	0	0	50
ASV_1327	0	0	0	0	0	48
ASV_1146	0	0	0	18	47	2
ASV_54	0	0	0	46	0	0
ASV_1684	0	0	0	45	4	0
ASV_622	0	0	0	44	0	2
ASV_1602	0	0	0	0	0	40
ASV_128	2	2	0	38	0	0
ASV_866	0	0	0	0	0	36
ASV_2339	0	0	0	0	0	34
ASV_1184	0	0	0	0	0	33
ASV_134	0	0	0	31	14	6
ASV_99	0	0	0	0	0	30
ASV_220	0	0	0	27	0	3
ASV_488	0	0	0	0	2	26
ASV_976	0	0	0	12	26	0
ASV_298	0	0	0	7	0	22
ASV_90	0	0	0	14	22	7
ASV_1047	0	0	0	0	0	21
ASV_1318	0	0	0	0	0	20
ASV_136	0	0	0	20	0	2
ASV_1847	0	0	0	3	20	0
ASV_207	0	0	0	20	0	0
ASV_2275	0	0	0	0	0	20
ASV_338	0	0	0	3	18	0
ASV_1832	0	0	0	0	0	17
ASV_348	0	0	0	17	0	5
ASV_3900	0	0	0	0	0	17
ASV_438	0	0	0	17	0	0
ASV_1169	0	0	0	0	0	16
ASV_4037	0	0	0	16	0	0
ASV_1564	0	0	0	15	0	0
ASV_161	0	0	0	0	0	15
ASV_57	0	0	0	15	0	0
ASV_152	0	0	0	0	5	14
ASV_1450	0	0	0	13	0	4
ASV_19	0	0	2	13	7	0
ASV_1534	0	0	0	0	0	12
ASV_1013	0	0	0	0	11	0
ASV_4984	0	0	0	11	0	0
ASV_738	0	0	0	11	0	0
ASV_928	0	0	0	11	0	0
ASV_1944	0	0	0	10	0	0
ASV_378	0	0	0	7	0	10
ASV_53	0	0	0	9	6	0
ASV_1805	0	0	0	8	3	0
ASV_1918	0	0	0	0	0	8
ASV_2171	0	0	0	0	0	8
ASV_261	0	0	0	8	0	2
ASV_445	0	0	0	3	0	8
ASV_984	0	0	0	8	0	2
ASV_1379	0	0	0	0	0	7
ASV_146	0	0	0	7	0	2
ASV_1475	0	0	0	0	0	7
ASV_2551	0	0	0	0	0	7
ASV_562	0	0	0	0	0	7
ASV_659	0	0	0	4	7	0
ASV_1391	0	0	0	6	0	0
ASV_3337	0	0	0	0	0	6
ASV_969	0	0	0	6	0	2
ASV_1264	0	0	0	5	0	0
ASV_387	0	0	0	0	0	5
ASV_1419	0	0	0	0	0	4
ASV_2268	0	0	0	0	0	4
ASV_2166	0	0	0	0	0	3
ASV_3237	0	0	0	0	0	3
ASV_415	0	0	0	3	0	0
ASV_47	0	0	0	3	0	0
ASV_511	0	0	0	3	0	0
ASV_897	0	0	0	3	0	0
ASV_1011	0	0	0	0	0	2
ASV_122	0	0	0	2	0	2
ASV_1361	0	0	0	0	0	2
ASV_1427	0	0	0	0	0	2
ASV_174	0	0	0	0	0	2
ASV_1852	0	0	0	0	0	2
ASV_2090	0	0	0	2	0	0
ASV_215	0	0	0	2	0	0
ASV_2494	0	0	0	0	2	0
ASV_694	0	0	0	0	0	2
