OTU	Ear	Introitus	Cervix	Vagina	Stool	Anus
ASV_5	100308.5	2888	3	24159	77	18393
ASV_1	23.5	75317	68840	59210	28	3100
ASV_4	24.5	3	14	17	59039	16020
ASV_99	0	0	0	0	13280	0
ASV_44	17	31	0	174	0	8775
ASV_25	7	4	0	16	0	8555
ASV_7	861	1222	3	4171	9	2041
ASV_56	2	9	2	5	0	1880
ASV_27	3	16	0	6	0	998
ASV_69	0	10	2	3	0	565
ASV_71	4	2	2	2	0	306
ASV_112	0	0	0	0	0	289
ASV_1702	0	0	0	0	0	285
ASV_540	0	7	0	2	0	248
ASV_610	0	3	0	0	0	175
ASV_301	0	0	0	0	0	119
ASV_219	0	0	0	2	0	106
ASV_364	0	0	0	0	0	66
ASV_3032	0	0	0	0	0	61
ASV_659	0	0	0	0	0	57
ASV_307	0	0	0	0	0	46
ASV_97	2	0	0	2	0	34
ASV_1011	0	0	0	0	0	29
ASV_2632	2.5	0	0	28	0	8
ASV_813	0	0	0	0	0	28
ASV_122	17	0	0	0	0	0
ASV_897	0	0	0	0	0	23
ASV_306	0	0	0	0	0	19
ASV_134	17.5	0	0	0	0	4
ASV_1509	0	0	0	0	0	17
ASV_250	2	0	0	0	0	15
ASV_434	0	0	0	0	0	13
ASV_2551	0	0	0	0	0	10
ASV_511	0	0	0	0	0	8
ASV_19	3	7	2	6	0	0
ASV_207	0	7	4	3	0	0
ASV_21	0	7	2	7	0	5
ASV_976	6	0	0	0	0	0
ASV_1098	0	0	0	0	0	5
ASV_139	4.5	0	0	0	0	0
ASV_338	5	0	0	0	0	0
ASV_477	5	0	0	0	0	0
ASV_55	4.5	0	0	0	0	0
ASV_378	3.5	0	0	0	0	0
ASV_79	2	0	0	0	2	4
ASV_866	4	0	0	0	0	0
ASV_1208	3	0	0	0	0	0
ASV_128	2	0	0	0	0	3
ASV_146	3	0	0	0	0	0
ASV_181	3	0	0	0	0	0
ASV_387	0	3	0	0	0	0
ASV_4037	2.5	0	0	0	0	0
ASV_438	2	0	0	0	3	0
ASV_519	3	0	0	0	0	0
ASV_53	3	0	0	0	0	0
ASV_721	3	0	0	0	0	0
ASV_969	2.5	0	0	0	0	0
ASV_1322	0	0	0	0	0	2
ASV_153	2	0	0	0	0	0
ASV_1661	2	0	0	0	0	0
ASV_1684	2	0	0	0	0	0
ASV_2175	2	0	0	0	0	0
ASV_2254	2	0	0	0	0	0
ASV_284	2	0	0	0	0	0
ASV_401	0	2	0	0	0	0
ASV_445	2	0	0	0	0	0
ASV_57	2	0	0	0	0	0
ASV_622	2	0	0	0	0	0
ASV_90	2	2	0	2	0	0
