OTU	Vagina	Anus	Cervix	Stool	Introitus
ASV_1	112063	378	73643	18	56208
ASV_7	328	76794	40	5669	1336
ASV_5	182	90	48	70569	1024
ASV_25	0	183	3	5890	0
ASV_4	5	627	4	8	4704
ASV_136	0	606	0	0	0
ASV_415	0	268	0	0	0
ASV_27	2	119	0	0	3
ASV_1289	0	104	0	0	0
ASV_71	0	75	0	0	0
ASV_1450	0	48	0	0	0
ASV_55	0	45	0	0	0
ASV_1146	0	40	0	0	0
ASV_57	0	40	0	0	0
ASV_44	5	34	0	3	16
ASV_976	0	34	0	0	0
ASV_53	0	31	0	0	0
ASV_1598	0	30	0	0	0
ASV_122	0	24	0	0	0
ASV_1264	0	23	0	0	0
ASV_813	0	23	0	0	0
ASV_1925	0	22	0	0	0
ASV_2520	0	21	0	0	0
ASV_1361	0	19	0	0	0
ASV_488	0	19	0	0	0
ASV_2458	0	18	0	0	0
ASV_1576	0	17	0	0	0
ASV_134	0	13	0	0	0
ASV_207	0	8	4	0	13
ASV_56	2	2	0	0	13
ASV_1381	0	12	0	0	0
ASV_348	0	10	0	0	3
ASV_1004	0	0	0	9	0
ASV_146	0	9	0	0	0
ASV_19	0	9	0	0	0
ASV_220	0	8	0	0	0
ASV_2632	0	0	0	8	0
ASV_378	0	8	0	0	0
ASV_622	0	8	0	0	0
ASV_659	0	8	0	0	0
ASV_614	0	7	0	0	0
ASV_984	0	6	0	0	0
ASV_694	0	5	0	0	0
ASV_1427	0	4	0	0	0
ASV_1694	0	4	0	0	0
ASV_1944	0	3	0	0	0
ASV_21	0	3	0	0	0
ASV_2485	0	3	0	0	0
ASV_674	0	3	0	0	0
ASV_112	0	2	0	0	0
ASV_153	0	0	0	0	2
ASV_2175	0	2	0	0	0
ASV_306	0	0	0	0	2
ASV_338	0	2	0	0	0
ASV_610	0	2	0	0	0
ASV_651	0	0	0	0	2
