OTU	Cervix	Stool	Vagina	Introitus	Ear	Anus
ASV_1	118186	169	88224	76376	676	91
ASV_7	9	89337	193	1942	48811	2565
ASV_56	0	26	35	44	128	15526
ASV_4	14	7	3	296	655	6125
ASV_71	5	0	1484	68	23	5352
ASV_25	0	21	187	4301	351	3870
ASV_69	0	0	156	22	25	3607
ASV_44	0	46	0	6	503	2692
ASV_250	0	0	4	0	35	1882
ASV_27	0	0	320	57	30	1500
ASV_97	0	0	0	0	2	1207
ASV_401	0	0	5	0	0	741
ASV_219	0	0	272	11	0	602
ASV_364	0	0	187	12	0	563
ASV_134	0	0	0	0	468	6
ASV_378	0	0	0	0	462	0
ASV_5	11	39	95	453	304	54
ASV_721	0	0	0	0	0	404
ASV_306	0	3	5	0	398	64
ASV_261	0	0	0	0	0	394
ASV_307	0	0	8	0	4	281
ASV_1098	0	0	0	0	0	207
ASV_112	0	0	7	0	0	201
ASV_813	0	0	0	0	0	194
ASV_348	0	0	0	0	181	0
ASV_207	0	0	86	145	99	23
ASV_1011	0	0	0	0	7	139
ASV_120	0	0	0	0	128	0
ASV_90	0	6	0	0	121	4
ASV_511	0	0	0	0	0	113
ASV_21	10	0	7	0	62	103
ASV_610	0	0	29	21	0	101
ASV_128	0	0	0	0	99	2
ASV_984	0	0	0	0	99	0
ASV_650	0	0	96	4	0	44
ASV_79	0	0	0	0	95	3
ASV_136	0	0	0	0	93	0
ASV_220	0	0	0	0	70	0
ASV_774	0	0	45	4	0	66
ASV_55	0	0	0	0	60	0
ASV_146	0	0	0	0	53	0
ASV_434	0	0	0	0	0	53
ASV_153	0	0	0	0	47	0
ASV_694	0	0	0	0	47	0
ASV_52	0	0	0	0	45	0
ASV_622	0	0	0	0	43	0
ASV_181	0	0	0	0	40	0
ASV_976	0	0	0	0	37	0
ASV_1146	0	0	0	0	35	0
ASV_218	0	0	2	0	0	35
ASV_1427	0	0	0	0	34	0
ASV_122	0	0	0	0	33	0
ASV_438	0	0	0	0	33	0
ASV_773	0	0	0	0	33	0
ASV_806	0	0	0	0	0	32
ASV_2090	0	0	0	0	30	0
ASV_53	0	0	0	0	29	0
ASV_659	0	0	14	0	28	0
ASV_2485	0	0	0	0	27	0
ASV_387	0	0	0	0	2	27
ASV_614	0	2	0	0	25	0
ASV_1379	0	0	0	0	22	0
ASV_1862	0	0	0	0	0	20
ASV_2166	0	0	0	0	20	0
ASV_2494	0	0	0	0	20	0
ASV_338	0	0	0	0	20	0
ASV_415	0	0	0	0	20	0
ASV_57	0	0	0	0	19	0
ASV_1264	0	0	0	0	18	0
ASV_4984	0	0	0	0	18	0
ASV_540	0	0	0	0	18	0
ASV_866	0	0	0	0	16	0
ASV_1925	0	0	0	0	14	0
ASV_2342	0	0	0	0	0	14
ASV_738	0	0	0	0	0	14
ASV_1598	0	0	0	0	13	0
ASV_298	0	0	0	0	13	0
ASV_2363	0	0	0	0	12	0
ASV_2895	0	0	0	0	12	0
ASV_1450	0	0	0	0	11	0
ASV_2551	0	0	0	0	11	0
ASV_19	0	0	0	3	10	0
ASV_1960	0	0	0	0	0	10
ASV_477	0	2	0	0	10	0
ASV_562	0	0	0	0	8	0
ASV_301	0	0	0	0	0	7
ASV_4037	0	0	0	0	7	0
ASV_4997	0	0	0	0	7	0
ASV_1702	0	0	0	0	6	0
ASV_534	0	0	0	0	6	0
ASV_1361	0	0	0	0	5	0
ASV_1381	0	0	0	0	5	0
ASV_1419	0	0	0	0	5	0
ASV_1661	0	0	0	0	5	0
ASV_1805	0	0	0	0	5	0
ASV_1004	0	0	0	0	4	0
ASV_215	0	0	0	2	4	0
ASV_901	0	0	4	0	0	2
ASV_1184	0	0	0	0	0	3
ASV_4013	0	0	0	0	0	3
ASV_47	0	0	0	0	3	0
ASV_1068	0	0	0	0	2	0
ASV_1314	0	0	0	0	2	0
ASV_1564	0	0	0	0	2	0
ASV_161	0	0	0	0	0	2
ASV_2100	0	0	0	0	2	0
ASV_54	0	0	0	0	2	0
ASV_747	0	0	0	0	2	0
ASV_754	0	2	0	0	0	0
