OTU	Introitus	Vagina	Cervix	Anus	Ear	Stool
ASV_1	98212	92641	82601	68157.5	42674	865
ASV_7	10	0	20	39	3085	37380
ASV_210	0	0	0	0	0	18144
ASV_25	8	0	0	19.5	772	6560
ASV_4	14	4	6	74	2065	5
ASV_387	6	10	0	1567	0	0
ASV_250	0	0	0	1353.5	456	0
ASV_71	0	3	0	1462.5	385	0
ASV_69	0	3	0	1282.5	586	0
ASV_845	0	0	0	1346	0	0
ASV_614	0	0	0	0	726	291
ASV_57	0	0	0	0	0	706
ASV_56	2	5	0	591	288	4
ASV_364	0	0	0	568	112	0
ASV_97	0	0	0	558.5	290	0
ASV_306	0	0	0	511.5	16	0
ASV_5	5	3	0	6.5	578	67
ASV_1610	0	0	0	407.5	0	0
ASV_378	0	0	0	2	378	0
ASV_219	0	0	0	286.5	0	0
ASV_27	0	0	0	289.5	137	0
ASV_519	0	0	0	278	0	0
ASV_44	6	4	0	311.5	281	38
ASV_1666	0	0	0	308.5	0	0
ASV_19	0	8	0	0	308	0
ASV_146	0	0	0	0	248	0
ASV_767	0	0	0	234.5	0	0
ASV_55	3	0	0	0	205	0
ASV_694	0	0	0	0	197	0
ASV_2342	0	0	0	168	0	0
ASV_120	0	0	0	170.5	51	0
ASV_153	0	0	0	16	167	0
ASV_1336	0	0	0	146.5	0	0
ASV_1098	0	0	0	110.5	44	0
ASV_1391	0	0	0	0	118	0
ASV_434	0	0	0	96.5	43	0
ASV_112	0	0	0	27.5	101	0
ASV_1847	0	0	0	0	96	0
ASV_598	0	0	0	23.5	90	0
ASV_90	0	0	0	84.5	42	0
ASV_218	0	0	0	73	0	0
ASV_1372	0	0	0	0	73	0
ASV_984	0	0	0	0	71	0
ASV_897	0	0	0	8	69	0
ASV_866	0	0	0	53	2	0
ASV_813	0	0	0	53	0	0
ASV_1820	0	0	0	62	18	0
ASV_610	0	0	0	57.5	0	0
ASV_1450	0	0	0	0	62	0
ASV_21	0	0	0	46	60	0
ASV_301	0	0	0	49	24	0
ASV_79	0	0	0	26.5	52	2
ASV_128	0	0	0	3	50	0
ASV_622	0	0	0	0	50	0
ASV_181	0	0	0	44	7	0
ASV_1862	0	0	0	33	0	0
ASV_488	0	0	0	13.5	38	0
ASV_1146	0	0	0	0	37	0
ASV_477	0	0	0	0	37	0
ASV_826	0	0	0	0	37	0
ASV_650	0	0	0	23.5	23	0
ASV_2520	0	0	0	0	32	0
ASV_122	0	0	0	0	30	0
ASV_338	0	0	0	2.5	30	0
ASV_1617	0	0	0	0	29	0
ASV_152	0	0	0	21	0	0
ASV_1694	0	0	0	0	22	0
ASV_2488	0	0	0	15.5	0	0
ASV_54	0	0	0	0	22	0
ASV_674	0	0	0	18.5	0	0
ASV_284	0	0	0	17.5	4	0
ASV_1419	0	0	0	0	20	0
ASV_2022	0	0	0	17.5	0	0
ASV_511	0	0	0	17.5	0	0
ASV_1289	0	0	0	0	19	0
ASV_534	0	0	0	15.5	0	0
ASV_261	0	0	0	10	18	0
ASV_136	0	0	0	0	17	0
ASV_1944	0	0	0	0	17	0
ASV_220	0	0	0	0	17	0
ASV_659	0	0	0	4	16	0
ASV_721	0	0	0	12.5	0	0
ASV_1013	0	0	0	0	15	0
ASV_1022	0	0	0	11.5	0	0
ASV_806	0	0	0	14	0	0
ASV_928	0	0	0	0	14	0
ASV_1068	0	0	0	8	0	0
ASV_1361	0	0	0	0	13	0
ASV_2842	0	0	0	0	12	0
ASV_4037	0	0	0	0	12	0
ASV_415	0	0	0	0	12	0
ASV_1002	0	0	0	0	11	0
ASV_1169	0	0	0	10	0	0
ASV_1245	0	0	0	0	11	0
ASV_1960	0	0	0	6.5	0	0
ASV_207	0	0	0	0	10	0
ASV_2769	0	0	0	0	10	0
ASV_53	0	0	0	2	10	0
ASV_1011	0	0	0	7	0	0
ASV_445	0	0	0	8.5	0	0
ASV_1381	0	0	0	2.5	8	0
ASV_161	0	0	0	3	8	0
ASV_2597	0	0	0	0	8	0
ASV_348	0	0	0	4.5	8	0
ASV_901	0	0	0	7.5	0	0
ASV_1327	0	0	0	5.5	0	0
ASV_1602	0	0	0	6.5	0	0
ASV_1661	0	0	0	0	7	0
ASV_562	0	0	0	5.5	0	0
ASV_4623	0	0	0	0	6	0
ASV_821	0	0	0	2	6	0
ASV_976	0	0	0	0	6	0
ASV_99	0	0	0	4.5	0	0
ASV_1314	0	0	0	0	5	0
ASV_1322	0	0	0	4.5	0	0
ASV_1998	0	0	0	0	5	0
ASV_567	0	0	0	0	5	0
ASV_1004	0	0	0	0	0	4
ASV_1293	0	0	0	4	0	0
ASV_1379	0	0	0	4	0	0
ASV_2607	0	0	0	0	4	0
ASV_307	0	0	0	0	4	0
ASV_413	0	0	0	4	0	0
ASV_417	0	0	0	0	4	0
ASV_1031	0	0	0	2.5	0	0
ASV_1184	0	0	0	2.5	0	0
ASV_1657	0	0	0	3	0	0
ASV_1832	0	0	0	2.5	0	0
ASV_2895	0	0	0	0	3	0
ASV_298	0	0	0	2.5	0	0
ASV_52	0	0	3	3	0	0
ASV_773	0	0	0	2	3	0
ASV_1318	0	0	0	2	0	0
ASV_1475	0	0	0	2	0	0
ASV_1534	0	0	0	2	0	0
ASV_1805	0	0	0	2	0	0
ASV_2494	0	0	0	0	2	0
ASV_2801	0	0	0	0	2	0
ASV_3191	0	0	0	0	2	0
ASV_3313	0	0	0	2	0	0
ASV_540	0	0	0	0	2	0
