OTU	Cervix	Introitus	Vagina	Anus	Ear	Stool
ASV_1	105300	90296	78184	49849.5	7302	24
ASV_4	13	12	17	105.5	15060	11900
ASV_71	2	50	4	8314	387	0
ASV_90	0	0	0	30	40	8461
ASV_7	6	137	0	945	4809	1613
ASV_387	0	20	0	3066	79	0
ASV_79	0	0	0	14.5	1061	3614
ASV_55	0	0	2	7	3453	0
ASV_69	0	14	3	2736	518	0
ASV_27	0	13	0	2189.5	200	0
ASV_56	0	8	0	1406.5	426	0
ASV_767	0	10	0	1364	74	0
ASV_207	0	0	0	33.5	123	1595
ASV_5	14	5	6	149.5	650	1529
ASV_250	0	4	2	1159	129	0
ASV_219	0	3	0	1023	90	0
ASV_44	0	41	0	306	1315	0
ASV_97	0	2	0	1012.5	210	0
ASV_364	0	4	0	818	22	0
ASV_747	0	0	0	2.5	937	0
ASV_445	0	0	0	15.5	913	0
ASV_338	0	0	0	0	673	0
ASV_1011	0	5	0	405.5	9	0
ASV_54	0	0	4	0	545	0
ASV_134	0	0	0	0	544	0
ASV_261	0	0	0	353.5	2	0
ASV_1245	0	0	0	0	429	0
ASV_25	0	2	0	344.5	390	220
ASV_306	0	0	0	219.5	353	0
ASV_21	0	2	0	272	36	0
ASV_650	0	0	0	237	215	0
ASV_826	0	0	0	0	291	0
ASV_519	0	0	0	8	282	0
ASV_773	0	0	0	0	253	0
ASV_146	2	0	0	0	248	0
ASV_210	0	0	0	0	0	244
ASV_477	0	0	0	0	210	0
ASV_181	0	0	0	2.5	203	0
ASV_659	0	0	0	75	203	0
ASV_152	0	0	0	2	181	188
ASV_2175	0	0	0	0	157	0
ASV_622	0	0	0	0	147	0
ASV_1047	0	0	0	0	146	0
ASV_1098	0	0	0	104	3	0
ASV_1146	0	0	0	8	138	0
ASV_220	0	0	0	0	138	0
ASV_2607	0	0	0	0	121	0
ASV_128	0	0	0	0	118	0
ASV_218	0	0	0	103.5	0	0
ASV_813	0	0	0	84	0	0
ASV_378	0	0	0	0	113	0
ASV_19	0	5	0	0	106	0
ASV_415	0	0	0	0	98	22
ASV_298	0	0	0	0	97	0
ASV_488	0	0	0	0	94	0
ASV_1960	0	0	0	75.5	2	0
ASV_610	0	0	0	70.5	20	0
ASV_1450	0	0	0	0	91	0
ASV_301	0	0	0	67.5	11	0
ASV_2100	0	0	0	0	82	0
ASV_614	0	0	0	4	79	2
ASV_1381	0	0	0	0	77	0
ASV_984	0	0	0	0	75	0
ASV_112	0	0	0	64	32	0
ASV_1576	0	0	0	0	70	0
ASV_2485	0	0	0	0	70	0
ASV_1918	0	0	0	0	67	0
ASV_2425	0	0	0	0	66	0
ASV_2494	0	0	0	0	63	0
ASV_1264	0	0	0	0	61	0
ASV_1944	0	0	0	0	60	0
ASV_215	0	0	0	0	58	0
ASV_136	0	0	0	0	54	0
ASV_57	0	0	0	4	37	53
ASV_2801	0	0	0	0	52	0
ASV_1684	0	0	0	0	50	0
ASV_721	0	0	0	29.5	31	0
ASV_540	0	0	0	0	36	0
ASV_901	0	0	0	27	0	0
ASV_598	0	0	0	2	33	0
ASV_122	0	0	0	0	32	0
ASV_47	0	0	0	0	31	0
ASV_511	0	0	0	20	30	0
ASV_1666	0	0	0	24.5	0	0
ASV_2171	0	0	0	0	29	0
ASV_3096	0	0	0	0	29	0
ASV_438	0	0	0	0	28	0
ASV_774	0	0	0	26.5	11	0
ASV_3446	0	0	0	0	25	0
ASV_806	0	0	0	21	0	0
ASV_99	0	0	0	0	23	3
ASV_976	0	0	0	0	22	0
ASV_4037	0	0	0	0	20	0
ASV_866	0	0	0	0	19	0
ASV_1541	0	0	0	0	18	0
ASV_1184	0	0	0	0	17	0
ASV_1289	0	0	0	0	17	0
ASV_1002	0	0	0	0	15	0
ASV_1318	0	0	0	0	15	0
ASV_53	0	0	0	0	15	0
ASV_1293	0	0	0	0	14	0
ASV_348	0	0	0	0	14	0
ASV_1336	0	0	0	9.5	0	0
ASV_2597	0	0	0	0	12	0
ASV_284	0	0	0	3.5	11	0
ASV_153	0	0	0	4	10	0
ASV_3085	0	0	0	0	10	0
ASV_1022	0	0	0	6	0	0
ASV_1322	0	0	0	5	0	0
ASV_1617	0	0	0	2	8	0
ASV_3237	0	0	0	0	8	0
ASV_1013	0	0	0	0	7	0
ASV_1068	0	0	0	0	7	0
ASV_307	0	0	0	4.5	0	0
ASV_1004	0	0	0	0	0	6
ASV_2090	0	0	0	0	6	0
ASV_2520	0	0	0	0	6	0
ASV_534	0	0	0	0	6	0
ASV_2776	0	0	0	4	0	0
ASV_2842	0	0	0	0	5	0
ASV_1509	0	0	0	0	4	0
ASV_1805	0	0	0	0	4	0
ASV_567	0	0	0	0	4	0
ASV_1138	0	0	0	0	3	0
ASV_1702	0	0	0	3	0	0
ASV_174	0	0	0	0	0	3
ASV_2022	0	0	0	2.5	0	0
ASV_2458	0	0	0	0	3	0
ASV_928	0	0	0	0	0	3
ASV_1534	0	0	0	2	0	0
ASV_1968	0	0	0	2	2	0
ASV_2070	0	0	0	0	2	0
ASV_2488	0	0	0	2	0	0
ASV_4013	0	0	0	2	0	0
