OTU	Introitus	Cervix	Vagina	Stool	Anus	Ear
ASV_1	108093	90705	84627	20	2732	57
ASV_7	17	1131	8.5	57482	327	867
ASV_27	2	14	2	0	17724	5
ASV_112	0	0	0	0	16922	0
ASV_134	0	0	0	5	8	12773
ASV_56	4	19	0	0	12417	0
ASV_69	0	9	0	0	11814	16
ASV_25	0	0	7	10949	17	19
ASV_250	0	0	0	0	3221	0
ASV_220	0	0	0	0	0	2097
ASV_378	0	0	0	0	43	1775
ASV_5	2	20	9	1357	324	99
ASV_774	0	0	0	0	1176	6
ASV_71	0	0	0	0	746	0
ASV_90	0	0	0	40	719	61
ASV_511	0	0	0	0	661	0
ASV_4	19	22	12	162	59	650
ASV_128	0	0	0	0	0	607
ASV_301	0	0	0	0	590	0
ASV_364	0	0	0	0	559	3
ASV_181	0	0	0	0	453	41
ASV_44	0	23	0	3	396	32
ASV_610	0	0	0	0	329	0
ASV_219	0	0	0	0	294	0
ASV_153	0	0	0	0	281	54
ASV_55	0	0	0	13	3	234
ASV_79	8	0	0	55	224	210
ASV_598	0	0	0	0	198	4
ASV_1133	0	0	0	0	178	0
ASV_534	0	0	0	0	173	83
ASV_306	0	0	0	0	156	3
ASV_562	0	0	0	0	150	29
ASV_488	0	0	0	0	146	6
ASV_984	0	0	0	0	10	136
ASV_1419	0	0	0	0	0	127
ASV_1011	0	0	0	0	106	0
ASV_57	0	0	0	100	0	0
ASV_298	0	0	0	0	86	0
ASV_1379	0	0	0	0	82	0
ASV_747	0	0	0	0	0	78
ASV_567	0	0	0	0	48	75
ASV_210	0	0	0	0	72	0
ASV_674	0	0	0	0	68	5
ASV_445	0	0	0	0	65	66
ASV_1184	0	0	0	0	63	0
ASV_284	0	0	0	0	43	58
ASV_1098	0	0	0	0	56	0
ASV_348	0	0	0	0	54	48
ASV_659	0	0	0	0	53	11
ASV_174	0	0	0	7	52	0
ASV_152	0	0	0	3	51	9
ASV_651	0	0	0	0	48	0
ASV_821	0	0	0	0	47	0
ASV_338	0	0	0	0	0	44
ASV_1322	0	0	0	0	41	0
ASV_1169	0	0	0	0	40	0
ASV_976	0	0	0	3	0	40
ASV_146	0	0	0	0	2	37
ASV_813	0	0	0	0	35	0
ASV_622	0	0	0	0	0	33
ASV_1372	0	0	0	0	31	0
ASV_540	0	0	0	0	0	28
ASV_1847	0	0	0	27	0	0
ASV_650	0	0	0	0	26	0
ASV_434	0	0	0	0	25	0
ASV_614	0	0	0	25	0	12
ASV_1391	0	0	0	0	0	23
ASV_99	0	0	0	0	13	23
ASV_1068	0	0	0	0	22	2
ASV_1327	0	0	0	0	22	0
ASV_1820	0	0	0	0	22	0
ASV_1031	0	0	0	0	21	0
ASV_1925	0	0	0	0	0	21
ASV_161	0	0	0	0	10	20
ASV_773	0	0	0	0	8	20
ASV_307	0	0	0	0	18	0
ASV_122	0	0	0	9	2	17
ASV_438	0	0	0	17	0	0
ASV_928	0	0	0	17	0	4
ASV_2166	0	0	0	0	0	16
ASV_4215	0	0	0	0	15	0
ASV_2363	0	0	0	0	14	0
ASV_3237	0	0	0	0	3	14
ASV_2171	0	0	0	0	13	0
ASV_54	0	0	5	13	0	0
ASV_826	0	0	0	8	0	13
ASV_721	0	0	0	0	11	0
ASV_866	0	0	0	0	11	7
ASV_1146	0	0	0	0	0	10
ASV_1427	0	0	0	0	0	10
ASV_1588	0	0	0	0	0	10
ASV_1805	0	0	0	0	0	10
ASV_2022	0	0	0	0	10	0
ASV_401	0	0	0	0	2	9
ASV_53	0	0	0	0	2	9
ASV_1318	0	0	0	0	0	8
ASV_1475	0	0	0	0	8	0
ASV_1657	0	0	0	0	8	0
ASV_139	7	0	0	0	0	0
ASV_1450	0	0	0	0	0	7
ASV_1694	0	0	0	0	0	7
ASV_1852	0	0	0	0	7	0
ASV_1022	0	0	0	0	6	0
ASV_136	0	0	0	6	0	0
ASV_1602	0	0	0	0	6	0
ASV_207	0	0	0	4	6	0
ASV_3900	0	0	0	0	6	0
ASV_1013	0	0	0	5	0	0
ASV_1381	0	0	0	0	0	5
ASV_1509	0	0	0	0	0	5
ASV_1673	0	0	0	0	5	0
ASV_19	3	0	0	4	0	5
ASV_2549	0	0	0	0	0	5
ASV_694	0	0	0	0	0	5
ASV_1047	0	0	0	0	3	0
ASV_1264	0	0	0	0	0	3
ASV_1998	0	0	0	0	3	0
ASV_4360	0	0	0	0	3	0
ASV_1138	0	0	0	2	0	0
ASV_1293	0	0	0	0	2	0
ASV_1314	0	0	0	0	2	2
ASV_1361	0	0	0	0	2	0
ASV_2090	0	0	0	0	0	2
ASV_3191	0	0	0	2	0	0
ASV_724	0	0	0	2	0	0
ASV_901	0	0	0	0	2	0
ASV_97	0	0	0	0	0	2
