OTU	Stool	Ear	Cervix	Vagina	Anus	Introitus
ASV_5	97431	179.5	5	445	3532	13490
ASV_7	15	76305	7	71	2398	25
ASV_1	46	695.5	80125	51223	7055	32077
ASV_4	13	113.5	8	312	36872	225
ASV_44	0	24	2	9	16066	21
ASV_54	0	0	0	5297	41	13636
ASV_56	0	20.5	2	2	2911	2
ASV_27	0	17	0	2	1743	7
ASV_69	0	34	0	2	1123	2
ASV_181	0	0	0	0	493	0
ASV_153	0	0	0	0	432	0
ASV_139	0	0	0	0	320	0
ASV_25	188	15.5	2	0	224	5
ASV_71	0	4	0	2	143	2
ASV_773	0	0	0	0	126	0
ASV_284	0	0	0	0	117	0
ASV_307	0	5	0	0	117	0
ASV_598	0	0	0	0	112	0
ASV_1588	0	0	0	0	87	0
ASV_721	0	0	0	0	86	0
ASV_445	0	0	0	0	85	0
ASV_134	0	41.5	0	0	0	0
ASV_1694	0	0	0	0	68	0
ASV_567	0	0	0	0	63	0
ASV_1702	0	0	0	0	62	0
ASV_97	0	0	0	0	60	0
ASV_146	0	53.5	0	0	0	0
ASV_261	0	0	0	0	57	0
ASV_659	0	19	0	0	52	0
ASV_1169	0	0	0	0	51	0
ASV_90	0	8	0	0	49	7
ASV_250	0	0	0	0	46	0
ASV_79	0	0	0	0	46	0
ASV_534	0	0	0	0	43	0
ASV_674	0	0	0	0	43	0
ASV_821	0	0	0	0	42	0
ASV_136	0	37	0	0	0	0
ASV_306	0	12.5	0	0	36	0
ASV_348	0	0	0	0	35	0
ASV_298	0	0	0	0	33	0
ASV_976	0	32	0	0	0	0
ASV_984	0	30	0	0	0	0
ASV_1534	0	0	0	0	29	0
ASV_614	0	22.5	0	0	0	0
ASV_866	0	0	0	0	29	0
ASV_301	0	0	0	0	28	0
ASV_364	0	4	0	0	28	0
ASV_1289	0	14.5	0	0	0	0
ASV_1098	0	0	0	0	24	0
ASV_1293	0	0	0	0	24	0
ASV_220	0	24	0	0	0	0
ASV_477	0	23	0	0	0	0
ASV_112	0	0	0	0	20	0
ASV_1013	0	14.5	0	0	0	0
ASV_55	0	13	0	0	0	0
ASV_1031	0	0	0	0	16	0
ASV_2171	0	0	0	0	15	0
ASV_1146	0	14	0	0	0	0
ASV_488	0	0	0	0	13	0
ASV_1541	0	0	0	0	12	0
ASV_1379	0	0	0	0	11	0
ASV_1576	0	8.5	0	0	0	0
ASV_57	0	5	0	0	11	0
ASV_610	0	0	0	0	11	0
ASV_1450	0	10	0	0	0	0
ASV_1684	0	10	0	0	0	0
ASV_207	0	0	0	3	10	5
ASV_3237	0	0	0	0	10	0
ASV_403	0	0	0	0	10	0
ASV_928	0	10	0	0	0	0
ASV_969	0	0	0	0	10	0
ASV_152	0	0	0	0	9	0
ASV_338	0	9	0	0	0	0
ASV_813	0	0	0	0	9	0
ASV_826	0	9	0	0	0	0
ASV_897	0	0	0	0	9	0
ASV_1657	0	0	0	0	8	0
ASV_219	0	0	0	0	8	0
ASV_3278	0	0	0	0	8	0
ASV_511	0	0	0	0	8	0
ASV_1184	0	0	0	0	7	0
ASV_19	0	2	0	0	7	0
ASV_650	0	0	0	2	7	0
ASV_747	0	0	0	0	7	0
ASV_1011	0	0	0	0	6	0
ASV_1068	0	0	0	0	6	0
ASV_161	0	2	0	0	6	0
ASV_215	0	6	0	0	0	0
ASV_3487	0	6	0	0	0	0
ASV_3792	0	6	0	0	0	0
ASV_774	0	0	0	0	6	0
ASV_122	0	5	0	0	0	0
ASV_1327	0	0	0	0	5	0
ASV_21	0	0	0	0	5	0
ASV_562	0	0	0	0	5	0
ASV_651	0	0	0	0	5	0
ASV_1069	0	0	0	0	4	0
ASV_120	0	4	0	0	0	0
ASV_1372	0	0	0	0	4	0
ASV_1617	0	3.5	0	0	0	0
ASV_1673	0	0	0	0	4	0
ASV_1960	0	0	0	0	4	0
ASV_53	0	0	0	0	4	0
ASV_1475	0	0	0	0	3	0
ASV_1509	0	0	0	0	3	0
ASV_1944	0	3	0	0	0	0
ASV_2223	0	0	0	0	3	0
ASV_387	0	0	0	2	0	3
ASV_1361	0	2	0	0	0	0
ASV_1391	0	2	0	0	0	0
ASV_1602	0	0	0	0	2	0
ASV_47	0	2	0	0	0	0
ASV_845	0	0	0	0	2	0
