OTU	Introitus	Vagina	Cervix	Stool	Anus	Ear
ASV_1	79853	78730	75863	10	1211	2545
ASV_5	5	17	36	72558	6	4297
ASV_112	3	0	0	0	11833	0
ASV_4	5	9	0	3	135	11155
ASV_54	0	0	0	7967	0	4
ASV_27	8	0	0	0	6530	229
ASV_56	0	0	0	0	5908	824
ASV_69	0	0	0	0	5304	63
ASV_307	0	0	0	0	4358	92
ASV_7	11	4	3	15	170	3828
ASV_364	3	0	0	0	2956	73
ASV_79	0	0	0	0	2737	1366
ASV_25	5	0	0	51	35	2300
ASV_71	0	0	0	0	2227	536
ASV_44	6	0	0	0	437	2104
ASV_181	0	0	0	0	1227	1948
ASV_250	0	0	0	0	1657	0
ASV_153	0	0	0	0	879	1071
ASV_1133	0	0	0	0	1069	0
ASV_403	0	0	0	0	885	161
ASV_598	0	0	0	0	839	18
ASV_219	0	0	0	0	833	0
ASV_477	0	0	0	0	0	799
ASV_55	0	0	0	0	6	749
ASV_866	0	0	0	0	746	129
ASV_773	0	0	0	0	13	717
ASV_1289	0	0	0	0	0	621
ASV_445	0	0	0	0	568	601
ASV_1022	0	0	0	0	561	0
ASV_338	0	0	0	0	2	560
ASV_284	0	0	0	0	538	300
ASV_1293	0	0	0	0	530	0
ASV_674	0	0	0	0	27	528
ASV_348	0	0	0	0	57	477
ASV_1694	0	0	0	0	0	469
ASV_161	0	0	0	0	7	439
ASV_1361	0	0	0	0	0	430
ASV_90	2	0	0	0	215	413
ASV_567	0	0	0	0	402	358
ASV_152	0	0	0	0	129	393
ASV_306	0	0	0	0	388	0
ASV_562	0	0	0	0	49	366
ASV_21	0	0	0	0	0	358
ASV_1031	0	0	0	0	145	333
ASV_1068	0	0	0	0	60	285
ASV_976	0	0	0	0	0	283
ASV_488	0	0	0	0	257	96
ASV_821	0	0	0	0	73	243
ASV_721	0	0	0	0	241	96
ASV_1576	8	0	0	0	0	230
ASV_1184	0	0	0	0	139	211
ASV_134	0	0	0	0	0	207
ASV_2339	0	0	0	0	45	198
ASV_122	0	0	0	0	0	192
ASV_826	0	0	0	0	0	190
ASV_1427	0	0	0	0	0	189
ASV_813	0	0	0	0	186	0
ASV_1968	0	0	0	0	102	185
ASV_534	0	0	0	0	180	0
ASV_774	0	0	0	0	0	167
ASV_57	0	0	0	162	0	0
ASV_1602	0	0	0	0	156	0
ASV_1372	0	0	0	0	140	0
ASV_1069	0	0	0	0	0	139
ASV_2549	0	0	0	0	29	139
ASV_1264	0	0	0	0	0	133
ASV_146	16	0	0	0	0	123
ASV_622	0	0	0	0	0	117
ASV_1541	0	0	0	0	114	103
ASV_19	0	0	0	0	0	104
ASV_1318	0	0	0	0	97	0
ASV_3085	0	0	0	0	0	93
ASV_1450	0	0	0	0	0	84
ASV_1598	0	0	0	0	0	81
ASV_1475	0	0	0	0	76	0
ASV_1327	0	0	0	0	74	0
ASV_659	0	0	0	0	0	72
ASV_298	0	0	0	0	69	12
ASV_1918	0	0	0	0	65	0
ASV_694	0	0	0	0	0	63
ASV_1960	0	0	0	0	62	0
ASV_1820	0	0	0	0	58	0
ASV_610	5	2	0	0	26	53
ASV_387	0	0	0	0	52	0
ASV_99	0	0	0	0	52	37
ASV_1379	0	0	0	0	47	0
ASV_747	0	0	0	0	47	0
ASV_301	0	0	0	0	44	0
ASV_174	0	0	0	0	42	0
ASV_614	0	0	0	0	0	38
ASV_1208	0	0	0	0	37	0
ASV_417	0	0	0	0	0	37
ASV_511	0	0	0	0	0	36
ASV_651	0	0	0	0	36	0
ASV_1657	0	0	0	0	33	18
ASV_1169	0	0	0	0	7	30
ASV_220	0	0	0	0	0	28
ASV_52	0	0	0	0	5	26
ASV_2171	0	0	0	0	25	0
ASV_1832	0	0	0	0	6	21
ASV_2895	0	0	0	0	0	20
ASV_1314	0	0	0	0	19	2
ASV_1011	0	0	0	0	18	0
ASV_128	0	0	0	0	3	16
ASV_1852	0	0	0	0	13	0
ASV_1944	0	0	0	0	0	13
ASV_210	0	0	0	0	11	0
ASV_218	0	0	0	0	11	0
ASV_3337	0	0	0	0	11	0
ASV_1847	0	0	0	0	0	8
ASV_3237	0	0	0	0	8	0
ASV_47	0	0	0	8	0	0
ASV_1998	0	0	0	0	6	0
ASV_207	0	0	0	0	6	0
ASV_4991	0	0	0	0	6	0
ASV_1047	0	0	0	0	5	0
ASV_2363	0	0	0	0	2	5
ASV_540	0	0	0	0	0	5
ASV_120	0	0	0	0	4	0
ASV_1673	0	0	0	0	4	0
ASV_1146	0	0	0	0	0	3
ASV_2458	0	0	0	0	0	3
ASV_767	0	0	0	0	3	0
ASV_2801	0	0	0	0	2	0
ASV_53	0	0	0	0	0	2
