OTU	Cervix	Introitus	Vagina	Ear	Anus	Stool
ASV_1	97924	82916	66134	52193	3580	0
ASV_5	1258	6	917	18373	58	26
ASV_56	8	0	5	600	17023	0
ASV_7	37	7	13	16907	1616	151
ASV_27	0	0	0	180	10582	0
ASV_69	0	0	0	69	8306	0
ASV_4	27	7	13	400	115	5270
ASV_97	0	0	0	23	2717	0
ASV_44	11	0	4	729	1780	0
ASV_378	0	0	0	1016	45	0
ASV_1146	0	0	0	447	3	0
ASV_306	0	0	0	359	237	0
ASV_1011	0	0	0	3	347	0
ASV_55	3	0	0	287	98	0
ASV_301	0	0	0	0	258	0
ASV_219	0	0	0	4	199	0
ASV_161	0	0	0	24	177	0
ASV_897	0	0	0	0	170	0
ASV_250	0	0	0	7	159	0
ASV_511	0	0	0	0	153	0
ASV_610	0	0	0	138	98	0
ASV_153	0	0	0	44	127	0
ASV_984	0	0	0	122	6	0
ASV_181	0	0	0	75	117	0
ASV_413	0	0	0	8	98	0
ASV_71	0	0	4	0	95	0
ASV_445	0	0	0	30	94	0
ASV_284	0	0	0	34	88	0
ASV_90	0	0	0	57	75	0
ASV_25	5	0	0	69	53	49
ASV_813	0	0	0	4	69	0
ASV_567	0	0	0	6	66	0
ASV_134	0	0	0	62	16	0
ASV_1098	0	0	0	14	54	0
ASV_622	0	0	0	54	12	0
ASV_210	0	0	0	0	52	0
ASV_79	0	0	0	24	52	0
ASV_146	0	0	2	49	6	0
ASV_976	0	0	0	49	0	0
ASV_120	0	0	0	48	0	0
ASV_128	0	0	0	48	6	0
ASV_207	0	0	0	40	8	0
ASV_1264	0	0	0	39	5	0
ASV_338	0	0	0	36	0	0
ASV_220	0	0	2	34	0	0
ASV_674	0	0	0	0	34	0
ASV_2090	0	0	0	27	0	0
ASV_136	0	0	0	26	0	0
ASV_747	0	0	0	26	3	0
ASV_562	0	0	0	25	3	0
ASV_650	0	0	0	10	25	0
ASV_1925	0	0	0	24	0	0
ASV_298	0	0	0	0	24	0
ASV_1138	0	0	0	22	0	0
ASV_1419	2	0	0	22	2	0
ASV_540	0	0	0	22	3	0
ASV_614	0	0	0	22	13	0
ASV_434	0	0	0	0	21	0
ASV_534	0	0	0	21	20	0
ASV_598	0	0	0	7	21	0
ASV_19	0	0	8	20	0	0
ASV_1576	0	0	0	18	0	0
ASV_57	0	0	0	11	0	18
ASV_99	0	0	0	0	18	0
ASV_174	0	0	0	0	17	0
ASV_1133	0	0	0	15	16	0
ASV_21	0	0	0	0	16	0
ASV_364	0	0	0	0	16	0
ASV_122	0	0	0	15	0	0
ASV_1391	0	0	0	15	0	0
ASV_53	0	0	0	15	2	0
ASV_1450	0	0	0	14	0	0
ASV_866	0	0	0	5	14	0
ASV_1022	0	0	0	8	13	0
ASV_1068	0	0	0	13	7	0
ASV_1184	0	0	0	2	13	0
ASV_348	0	0	0	13	13	0
ASV_488	0	0	0	3	12	0
ASV_4997	0	0	0	12	0	0
ASV_2166	0	0	0	11	4	0
ASV_2520	0	0	0	11	0	0
ASV_1169	0	0	0	10	3	0
ASV_1694	0	0	0	10	7	0
ASV_1805	0	0	0	10	0	0
ASV_261	0	0	0	4	10	0
ASV_387	0	0	0	10	0	0
ASV_721	0	0	0	10	5	0
ASV_1004	0	0	0	0	0	9
ASV_1427	0	0	0	9	5	0
ASV_54	0	0	0	2	2	9
ASV_152	0	0	0	0	8	0
ASV_1820	0	0	0	8	8	0
ASV_2551	0	0	0	8	0	0
ASV_1300	0	0	0	7	2	0
ASV_2597	0	0	0	7	0	0
ASV_659	5	0	0	7	0	0
ASV_112	0	0	0	0	6	0
ASV_1293	0	0	0	6	5	0
ASV_1534	0	0	0	0	6	0
ASV_1588	0	0	0	2	6	0
ASV_1862	0	0	0	0	6	0
ASV_3278	0	0	0	0	6	0
ASV_47	0	0	0	6	0	0
ASV_1602	0	0	0	0	5	0
ASV_307	0	0	0	0	5	0
ASV_1208	0	0	0	0	4	0
ASV_1245	0	0	0	2	4	0
ASV_1361	0	0	0	4	0	0
ASV_3792	0	0	0	4	0	0
ASV_4013	0	0	0	0	4	0
ASV_477	0	0	0	4	0	0
ASV_826	0	0	0	4	0	0
ASV_1314	0	0	0	0	3	0
ASV_2632	0	0	0	3	0	0
ASV_3032	0	0	0	3	0	0
ASV_3237	0	0	0	0	3	0
ASV_821	0	0	0	0	3	0
ASV_928	0	0	0	0	3	0
ASV_1002	0	0	0	2	0	0
ASV_1031	0	0	0	0	2	0
ASV_1475	0	0	0	0	2	0
ASV_1673	0	0	0	0	2	0
ASV_1702	0	0	0	2	0	0
ASV_1944	0	0	0	2	0	0
ASV_1960	0	0	0	2	0	0
ASV_2171	0	0	0	2	0	0
ASV_2363	0	0	0	0	2	0
ASV_52	0	0	0	2	0	0
