OTU	Cervix	Vagina	Ear	Anus	Introitus	Stool
ASV_1	99844	89663	160	1446	65459	14
ASV_4	8	4	84882	63199.5	3	38026
ASV_90	0	0	0	27.5	3	16054
ASV_79	0	0	0	38.5	0	8077
ASV_7	10	190	1664	3295	5056	241
ASV_284	0	0	0	27.5	0	3024
ASV_25	0	9	9	2162.5	533	228
ASV_5	9	21	289	945.5	854	320
ASV_27	0	0	4	681.5	3	0
ASV_71	0	0	0	538	0	0
ASV_1588	0	0	0	0	0	545
ASV_44	0	4	30	347.5	84	2
ASV_56	0	0	0	324.5	206	0
ASV_219	0	0	0	239	4	0
ASV_69	0	0	2	146.5	57	0
ASV_21	0	0	0	94	0	0
ASV_207	0	0	0	0	123	7
ASV_348	0	0	0	85	0	0
ASV_152	0	0	0	6.5	0	107
ASV_364	0	0	0	70	2	0
ASV_250	0	0	0	64	0	0
ASV_3278	0	0	0	3	0	67
ASV_813	0	0	0	44.5	0	0
ASV_598	0	0	0	41	0	0
ASV_218	0	0	0	49.5	0	0
ASV_181	0	0	0	34.5	0	0
ASV_534	0	0	0	26	0	0
ASV_2339	0	0	0	33	0	0
ASV_153	0	0	0	21	0	0
ASV_128	0	0	0	16.5	0	0
ASV_567	0	0	0	19.5	0	0
ASV_1541	0	0	0	17	0	0
ASV_610	0	0	0	12	24	0
ASV_1022	0	0	0	15.5	0	4
ASV_445	0	0	0	16.5	0	0
ASV_1004	0	0	0	3	0	16
ASV_1184	0	0	0	10	0	0
ASV_306	0	0	0	13	0	0
ASV_773	0	0	0	15.5	0	0
ASV_1509	0	0	0	8.5	0	0
ASV_969	0	0	0	12	0	0
ASV_134	0	0	2	7	0	0
ASV_488	0	0	0	7	0	0
ASV_57	0	0	0	0	0	9
ASV_1011	0	0	0	6.5	0	0
ASV_1694	0	0	0	5	0	0
ASV_1832	0	0	0	6	0	0
ASV_1031	0	0	0	5	0	0
ASV_1293	0	0	0	3.5	0	0
ASV_1960	0	0	0	3.5	0	0
ASV_774	0	0	0	5	0	0
ASV_866	0	0	0	3.5	0	0
ASV_99	0	0	0	0	0	5
ASV_1327	0	0	0	4	0	0
ASV_821	0	0	0	3.5	0	0
ASV_901	0	0	0	0	4	0
ASV_1372	0	0	0	3	0	0
ASV_1475	0	0	0	2.5	0	0
ASV_2268	0	0	0	0	0	3
ASV_301	0	0	3	0	0	0
ASV_54	0	0	0	0	3	0
ASV_1068	0	0	0	2	0	0
ASV_1314	0	0	0	2	0	0
ASV_1318	0	0	0	2	0	0
ASV_146	0	2	0	0	0	0
ASV_161	0	0	2	2	0	0
ASV_2171	0	0	0	0	0	2
ASV_52	0	0	0	2	0	0
ASV_97	0	0	0	2	0	0
