OTU	Ear	Cervix	Stool	Introitus	Vagina	Anus
ASV_7	143363	0	0	250	593	13098
ASV_1	171	75548	9	53440	53145	51723
ASV_4	14	0	54964	6	220	15
ASV_71	15	3	0	64	7558	154
ASV_5	24	4	7173	50	2670	750
ASV_25	21	0	863	540	6219	2449
ASV_44	0	0	0	6	155	4338
ASV_136	5	0	0	52	2592	106
ASV_417	0	6	0	43	2016	68
ASV_27	4	0	0	24	1660	230
ASV_610	0	0	0	38	1068	30
ASV_415	0	0	0	19	674	30
ASV_19	2	0	0	16	603	14
ASV_585	4	6	0	328	359	21
ASV_215	0	0	0	21	249	8
ASV_307	0	0	0	3	171	35
ASV_401	0	0	0	6	143	0
ASV_56	0	0	0	0	49	113
ASV_69	3	0	0	6	108	55
ASV_519	0	0	0	0	99	7
ASV_364	0	0	0	3	88	12
ASV_659	0	0	0	3	70	5
ASV_438	27	0	0	5	65	0
ASV_134	4	0	0	0	0	57
ASV_250	0	0	0	0	51	5
ASV_378	33	0	0	0	0	0
ASV_207	2	0	0	4	28	0
ASV_57	0	0	4	2	20	3
ASV_21	0	0	0	0	14	0
ASV_387	0	0	0	0	12	0
ASV_348	0	0	0	0	0	10
ASV_2498	0	6	0	4	7	0
ASV_338	7	0	0	0	0	0
ASV_55	7	0	0	0	0	3
ASV_622	7	0	0	0	0	0
ASV_79	7	0	0	0	0	0
ASV_1011	0	0	0	0	6	3
ASV_477	6	0	0	0	0	0
ASV_928	6	0	0	0	0	0
ASV_128	3	0	0	0	0	5
ASV_1702	0	0	0	0	0	5
ASV_598	5	0	0	0	0	0
ASV_650	0	0	0	0	5	0
ASV_153	0	0	0	0	0	4
ASV_2166	4	0	0	0	0	0
ASV_301	0	0	0	0	4	2
ASV_413	4	0	0	0	0	0
ASV_445	0	0	0	0	0	4
ASV_534	0	0	0	0	0	4
ASV_54	0	0	4	0	0	0
ASV_1013	3	0	0	0	0	0
ASV_1381	0	0	0	0	0	3
ASV_2551	0	0	0	0	0	3
ASV_99	0	0	0	0	0	3
ASV_1184	0	0	0	0	0	2
ASV_1684	2	0	0	0	0	0
ASV_181	0	0	0	0	0	2
ASV_220	0	0	0	0	0	2
ASV_540	2	0	0	0	0	0
