OTU	Stool	Vagina	Introitus	Anus	Cervix
ASV_5	92075	2898	1799	17506	500
ASV_4	3	85316	69408	40720	38151
ASV_25	25	2935	2193	45	8398
ASV_19	0	1550	320	0	6363
ASV_1	28	832	508	7	3879
ASV_415	16	407	202	0	1951
ASV_7	26	1126	459	1806	603
ASV_27	0	16	24	1788	41
ASV_44	6	56	32	592	9
ASV_69	0	4	0	530	2
ASV_56	0	3	4	474	5
ASV_112	0	0	0	273	0
ASV_71	0	62	96	126	200
ASV_901	0	3	8	0	198
ASV_364	0	0	0	99	0
ASV_207	0	29	18	0	83
ASV_519	0	23	6	0	82
ASV_301	0	0	0	47	0
ASV_610	0	26	9	43	27
ASV_219	0	0	0	34	2
ASV_1702	0	0	0	26	0
ASV_598	0	0	0	26	0
ASV_250	0	0	0	22	0
ASV_57	22	4	0	0	0
ASV_306	0	2	0	19	0
ASV_2632	0	0	0	16	0
ASV_413	0	0	0	15	0
ASV_866	0	0	0	13	0
ASV_136	0	0	0	0	11
ASV_153	0	0	0	11	0
ASV_79	0	0	0	10	0
ASV_1133	0	0	0	8	0
ASV_1509	0	0	0	8	0
ASV_181	0	0	0	7	0
ASV_659	0	2	0	7	0
ASV_813	0	0	0	7	0
ASV_969	0	0	0	7	0
ASV_488	0	0	0	6	0
ASV_1022	0	0	0	5	0
ASV_1068	0	0	0	5	0
ASV_1610	0	0	0	5	0
ASV_1031	0	0	0	4	0
ASV_284	0	0	0	4	0
ASV_821	0	0	0	4	0
ASV_1011	0	0	0	3	0
ASV_1541	0	0	0	3	0
ASV_161	0	0	0	3	0
ASV_220	0	0	0	3	0
ASV_298	0	0	0	3	0
ASV_3278	0	0	0	3	0
ASV_348	0	0	0	3	0
ASV_403	0	0	0	3	0
ASV_445	0	0	0	3	0
ASV_534	0	0	0	3	0
ASV_55	0	0	0	0	3
ASV_90	0	3	2	0	0
ASV_99	0	0	0	3	0
ASV_1169	0	0	0	2	0
ASV_1293	0	0	0	2	0
ASV_1314	0	0	0	2	0
ASV_2776	0	0	0	0	2
ASV_434	0	0	0	2	0
ASV_438	0	0	0	2	0
ASV_52	0	0	0	2	0
ASV_651	0	0	0	2	0
