OTU	Vagina	Cervix	Introitus	Stool	Anus	Ear
ASV_1	90174	85528	73091	16	181	2551
ASV_25	7	8	646	54561	77	1533
ASV_250	83	38	203	0	15821	166
ASV_69	122	70	484	0	5823	1388
ASV_146	0	0	0	4768	0	20
ASV_71	28	13	4018	0	2026	492
ASV_7	19	56	45	3649	25	2024
ASV_97	27	7	75	0	3611	351
ASV_79	2	0	4	0	1819	3398
ASV_56	137	76	451	0	2797	1173
ASV_181	0	0	0	0	916	2277
ASV_55	0	0	0	0	0	2031
ASV_348	0	0	0	0	404	1698
ASV_120	0	0	0	0	0	1653
ASV_219	16	6	73	0	1651	4
ASV_4	9	0	0	2	124	1381
ASV_27	32	19	228	0	1356	1142
ASV_445	0	0	0	0	1250	281
ASV_153	0	0	0	0	1096	1195
ASV_261	0	0	0	0	1147	214
ASV_567	0	0	0	0	1045	0
ASV_90	130	78	168	0	972	287
ASV_598	0	0	0	0	904	127
ASV_161	0	0	0	0	719	78
ASV_519	0	0	0	0	644	104
ASV_364	16	6	599	0	596	188
ASV_585	522	492	578	0	0	0
ASV_813	6	8	12	0	559	0
ASV_378	0	0	0	0	0	509
ASV_674	0	0	0	0	448	215
ASV_44	109	82	221	0	52	445
ASV_401	0	0	0	0	0	423
ASV_897	96	62	183	0	408	46
ASV_134	0	0	2	0	2	401
ASV_969	0	0	0	0	0	381
ASV_298	0	0	0	0	375	0
ASV_207	0	0	0	0	0	369
ASV_128	0	0	0	0	2	298
ASV_152	0	0	0	0	287	36
ASV_438	0	0	0	0	0	284
ASV_301	4	13	54	0	273	37
ASV_57	0	0	0	264	3	167
ASV_1327	0	0	0	0	17	254
ASV_1318	0	0	0	0	40	241
ASV_773	0	0	0	0	0	241
ASV_562	0	0	0	0	69	240
ASV_488	0	0	0	0	230	158
ASV_1450	0	0	0	0	0	229
ASV_1169	0	0	0	0	42	218
ASV_174	0	0	0	0	218	0
ASV_306	0	0	0	0	116	213
ASV_1013	0	0	0	0	0	203
ASV_774	0	0	194	0	25	13
ASV_210	0	0	0	0	186	0
ASV_122	0	0	0	0	0	184
ASV_928	0	0	0	0	0	177
ASV_307	0	0	169	0	5	40
ASV_1133	0	0	0	0	0	163
ASV_1208	0	0	0	0	157	0
ASV_477	0	0	0	0	0	153
ASV_112	5	0	5	0	136	2
ASV_403	0	0	0	0	2	132
ASV_1068	0	0	0	0	115	128
ASV_1184	0	0	0	0	125	0
ASV_534	0	0	0	0	109	125
ASV_738	0	0	124	0	15	0
ASV_1832	0	0	0	0	28	123
ASV_511	0	0	0	0	122	32
ASV_2204	0	0	0	0	0	116
ASV_2376	62	55	71	0	3	116
ASV_413	0	0	0	0	116	0
ASV_522	0	0	0	0	0	96
ASV_1098	0	0	0	0	94	0
ASV_1022	0	0	0	0	87	0
ASV_1264	0	0	0	0	0	86
ASV_1820	0	0	0	0	83	0
ASV_1379	0	0	0	0	81	0
ASV_610	6	7	11	0	15	81
ASV_622	0	0	0	0	0	76
ASV_651	0	0	0	0	76	0
ASV_659	0	0	0	0	0	76
ASV_1657	0	0	0	0	75	0
ASV_338	0	0	0	0	0	71
ASV_99	0	0	0	0	71	0
ASV_1588	0	0	0	0	0	69
ASV_821	0	0	0	0	69	0
ASV_1534	0	0	0	0	63	5
ASV_19	0	5	0	0	0	62
ASV_540	0	0	0	0	0	60
ASV_1381	0	0	0	0	0	58
ASV_1011	0	0	0	0	57	57
ASV_1289	0	0	0	0	0	56
ASV_826	0	0	0	0	0	53
ASV_1610	0	0	0	0	52	0
ASV_614	0	0	0	0	0	52
ASV_1300	0	0	0	0	49	0
ASV_5	43	22	2	2	4	49
ASV_21	0	0	8	0	11	46
ASV_1361	0	0	0	0	0	45
ASV_2607	0	0	0	0	0	45
ASV_866	0	0	0	0	44	0
ASV_434	0	0	0	0	41	0
ASV_650	0	0	0	0	12	40
ASV_136	0	0	0	0	0	39
ASV_415	0	0	0	0	0	37
ASV_2171	0	0	0	0	36	0
ASV_2342	0	0	0	0	36	0
ASV_1475	0	0	0	0	33	35
ASV_2166	0	0	0	0	0	35
ASV_2895	0	0	0	0	0	35
ASV_1666	0	0	0	0	34	0
ASV_2551	0	0	0	0	0	34
ASV_1336	0	0	0	0	32	0
ASV_1673	0	0	0	0	32	0
ASV_1002	0	0	0	0	0	31
ASV_1862	0	0	0	0	31	0
ASV_417	0	0	0	0	0	31
ASV_2520	0	0	0	0	0	30
ASV_220	0	0	0	0	0	29
ASV_3266	0	0	0	0	29	0
ASV_1146	0	0	0	0	0	27
ASV_387	0	0	0	0	0	27
ASV_984	0	0	0	0	0	27
ASV_2485	0	0	0	0	0	26
ASV_139	0	0	0	0	0	23
ASV_901	0	0	19	0	0	0
ASV_3096	0	0	0	0	0	18
ASV_284	0	0	0	0	0	17
ASV_1047	0	0	0	0	14	0
ASV_1918	0	0	0	0	13	0
ASV_1852	0	0	0	0	12	0
ASV_806	0	0	4	0	2	12
ASV_1998	0	0	0	0	11	0
ASV_1245	0	0	0	0	0	10
ASV_1541	0	0	0	0	9	0
ASV_1602	0	0	0	0	8	0
ASV_2549	0	0	0	0	8	0
ASV_2022	0	0	0	0	5	7
ASV_2801	0	0	0	0	0	7
ASV_1314	0	0	0	0	6	0
ASV_4013	0	0	0	0	6	0
ASV_1138	0	0	0	0	0	5
ASV_1427	0	0	0	0	0	5
ASV_1576	0	5	0	0	0	0
ASV_2175	0	0	0	0	0	5
ASV_3487	0	0	0	0	0	5
ASV_2458	0	0	0	0	0	4
ASV_2498	4	4	0	0	0	0
ASV_53	0	0	0	0	2	4
ASV_1419	0	0	0	0	0	3
ASV_3337	0	0	0	0	3	0
ASV_1564	0	0	0	0	0	2
ASV_52	0	0	0	0	2	0
ASV_767	0	0	0	0	2	0
