OTU	Cervix	Introitus	Vagina	Ear	Stool	Anus
ASV_1	112794	106754	88486	91	35	1272
ASV_7	2	214	6	62816	148	47
ASV_4	17	23	13	6	47923	43
ASV_71	5	538	7	0	0	17435
ASV_79	0	0	0	0	7953	57
ASV_69	0	285	4	0	0	7674
ASV_27	0	360	2	3	0	7109
ASV_56	0	326	3	0	0	6496
ASV_5	0	6	2	26	3448	19
ASV_152	0	2	0	0	2621	12
ASV_219	0	128	0	0	0	1521
ASV_207	0	236	6	0	0	1503
ASV_97	0	34	0	0	0	943
ASV_364	0	35	0	0	0	869
ASV_813	0	11	0	0	0	827
ASV_650	0	6	0	0	0	792
ASV_250	0	17	0	0	0	791
ASV_90	0	0	0	0	743	6
ASV_403	0	2	0	0	0	666
ASV_306	0	25	0	0	0	581
ASV_1011	0	4	0	0	0	424
ASV_897	0	10	0	0	0	393
ASV_774	0	9	0	0	0	392
ASV_44	2	345	3	10	2	99
ASV_767	0	14	0	0	0	211
ASV_1098	2	2	0	0	0	187
ASV_134	0	8	0	128	0	11
ASV_25	7	3	3	86	83	19
ASV_387	0	58	0	0	0	46
ASV_610	0	4	0	0	0	58
ASV_511	0	0	0	0	0	52
ASV_112	0	5	0	0	0	36
ASV_413	0	0	0	0	0	25
ASV_1184	0	0	0	0	0	18
ASV_1047	0	0	0	0	0	15
ASV_434	0	2	0	0	0	14
ASV_415	0	0	0	0	13	0
ASV_284	0	0	0	0	0	12
ASV_301	0	0	0	0	0	12
ASV_57	0	0	0	2	11	2
ASV_1022	0	0	0	0	0	10
ASV_1534	0	0	0	0	0	9
ASV_1960	0	0	0	0	0	8
ASV_161	0	0	0	0	0	7
ASV_2022	0	0	0	0	0	7
ASV_540	0	7	0	0	0	0
ASV_901	0	7	0	0	0	7
ASV_128	0	5	0	0	0	0
ASV_1576	0	5	0	0	0	0
ASV_2275	0	0	0	0	0	5
ASV_866	0	0	0	0	0	5
ASV_146	0	4	0	2	0	0
ASV_1832	0	0	0	0	0	4
ASV_1918	0	0	0	0	0	4
ASV_21	0	4	0	0	0	0
ASV_1322	0	2	0	0	0	3
ASV_1541	0	0	0	0	0	3
ASV_2268	0	0	0	0	0	3
ASV_52	0	2	0	3	0	0
ASV_1318	0	0	0	0	0	2
ASV_1968	0	0	0	0	0	2
ASV_307	0	0	0	0	0	2
ASV_338	0	2	0	0	0	0
ASV_477	0	2	0	0	0	0
ASV_598	0	0	0	0	0	2
ASV_99	0	0	0	0	0	2
